ai.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60660	60660	60660	60660	
0	-0.0137329	0.00274658	0.0548096	0.0283813	
0.001	-0.0265503	0.00671387	0.0539551	0.0280762	
0.002	-0.0296021	0.00854492	0.0531006	0.027771	
0.003	-0.0250244	0.00610352	0.0521851	0.0274658	
0.004	-0.0219727	0.00427246	0.0512695	0.0271606	
0.005	-0.0195312	0.00305176	0.050354	0.0268555	
0.006	-0.015564	0.00213623	0.0494385	0.0265503	
0.007	-0.010376	-0.000610352	0.0485229	0.0262451	
0.008	-0.00518799	-0.00183105	0.0476074	0.0262451	
0.009	0.00518799	-0.00457764	0.0466919	0.0259399	
0.01	0.00701904	-0.00488281	0.0457153	0.0256348	
0.011	0.00640869	-0.00366211	0.0447388	0.0253296	
0.012	0.00152588	-0.000305176	0.0437012	0.0250244	
0.013	-0.00244141	-0.00274658	0.0426636	0.0247192	
0.014	0.000915527	-0.00366211	0.0415649	0.0244141	
0.015	0.00244141	-0.00183105	0.0405273	0.0241089	
0.016	0.00579834	-0.000610352	0.0394897	0.0238037	
0.017	0.00701904	-0.00366211	0.0384521	0.0234985	
0.018	0.00427246	-0.00396729	0.0374756	0.0234985	
0.019	-0.00457764	-0.00671387	0.036499	0.0231934	
0.02	-0.00854492	-0.00701904	0.0355225	0.0228882	
0.021	-0.0109863	-0.00366211	0.0345459	0.022583	
0.022	-0.015564	0	0.0336304	0.0222778	
0.023	-0.0134277	0.00305176	0.0326538	0.0219727	
0.024	-0.0088501	0.00152588	0.0317383	0.0219727	
0.025	-0.00152588	0.000610352	0.0308838	0.0216675	
0.026	-0.00183105	-0.000305176	0.0300293	0.0213623	
0.027	-0.00488281	-0.000610352	0.0292969	0.0210571	
0.028	-0.00274658	-0.00244141	0.0285645	0.020752	
0.029	0.00640869	-0.00366211	0.027832	0.020752	
0.03	0.00915527	-0.00854492	0.0270996	0.0204468	
0.031	0.0115967	-0.00823975	0.0264282	0.0201416	
0.032	0.0137329	-0.00518799	0.0257568	0.0198364	
0.033	0.00976562	-0.00488281	0.0250854	0.0195312	
0.034	0.0115967	-0.00213623	0.0244751	0.0192261	
0.035	0.0125122	0.000305176	0.0239258	0.0192261	
0.036	0.0115967	-0.000305176	0.0234375	0.0189209	
0.037	0.0088501	0.000610352	0.0229492	0.0186157	
0.038	0.00640869	-0.000915527	0.022583	0.0183105	
0.039	0.0012207	0.00305176	0.0221558	0.0180054	
0.04	0.000305176	0.000915527	0.0217896	0.0177002	
0.041	-0.0012207	-0.00366211	0.0214233	0.017395	
0.042	-0.00793457	-0.00244141	0.0209961	0.0170898	
0.043	-0.00640869	-0.00335693	0.0206909	0.0167847	
0.044	-0.012207	-0.000305176	0.0203247	0.0164795	
0.045	-0.012207	-0.000305176	0.0200195	0.0161743	
0.046	-0.00976562	0.00335693	0.0197144	0.0158691	
0.047	-0.015564	-0.000610352	0.0194702	0.015564	
0.048	-0.0180054	0.0012207	0.019165	0.0152588	
0.049	-0.0192261	-0.00152588	0.0189819	0.0149536	
0.05	-0.022583	-0.00244141	0.0187378	0.0146484	
0.051	-0.0213623	-0.00183105	0.0184937	0.0140381	
0.052	-0.0219727	-0.00396729	0.0182495	0.0137329	
0.053	-0.0167847	-0.00183105	0.0180054	0.0134277	
0.054	-0.0106812	-0.00183105	0.0177612	0.0131226	
0.055	-0.00396729	-0.000305176	0.0175781	0.0128174	
0.056	0.0012207	0.000915527	0.0174561	0.0125122	
0.057	0.00335693	0.00335693	0.017334	0.012207	
0.058	0.0100708	0.00152588	0.0172729	0.0115967	
0.059	0.0180054	0	0.0171509	0.0112915	
0.06	0.0241089	-0.00274658	0.0170898	0.0109863	
0.061	0.0292969	-0.0012207	0.0170288	0.0106812	
0.062	0.0253296	-0.000305176	0.0169678	0.010376	
0.063	0.0195312	-0.000305176	0.0169067	0.00976562	
0.064	0.0125122	-0.00457764	0.0169067	0.00946045	
0.065	0.0088501	-0.00701904	0.0169067	0.00915527	
0.066	0.00457764	-0.00579834	0.0169678	0.0088501	
0.067	-0.00213623	-0.000610352	0.0170898	0.00854492	
0.068	-0.0183105	0.00274658	0.0172119	0.00793457	
0.069	-0.0250244	0.000915527	0.017334	0.00762939	
0.07	-0.0195312	-0.00488281	0.0174561	0.00732422	
0.071	-0.015564	-0.00152588	0.0175171	0.00701904	
0.072	-0.00762939	0.00274658	0.0176392	0.00640869	
0.073	-0.00152588	0.00244141	0.0177002	0.00610352	
0.074	0.00396729	-0.00244141	0.0178223	0.00579834	
0.075	0.00488281	-0.00457764	0.0179443	0.00518799	
0.076	0.000305176	-0.00305176	0.0180664	0.00488281	
0.077	-0.00793457	-0.000915527	0.0182495	0.00457764	
0.078	-0.00549316	0.00213623	0.0184326	0.00427246	
0.079	0.00244141	0.00335693	0.0186157	0.00366211	
0.08	-0.00152588	0.000915527	0.0187988	0.00335693	
0.081	-0.00732422	0	0.0189819	0.00305176	
0.082	-0.00579834	0.000915527	0.019104	0.00244141	
0.083	-0.00701904	0.00183105	0.0192871	0.00213623	
0.084	-0.010376	-0.00244141	0.0194702	0.00183105	
0.085	-0.00396729	-0.00427246	0.0197144	0.0012207	
0.086	-0.00366211	-0.00335693	0.0199585	0.000915527	
0.087	-0.000915527	-0.00213623	0.0203247	0.000305176	
0.088	0.00335693	-0.00457764	0.0206299	0	
0.089	0.00488281	-0.00701904	0.0209961	-0.000305176	
0.09	-0.000305176	-0.00732422	0.0213623	-0.000915527	
0.091	-0.00366211	-0.0088501	0.0216675	-0.0012207	
0.092	-0.00793457	-0.00427246	0.0220337	-0.00152588	
0.093	-0.00244141	-0.00274658	0.0223389	-0.00213623	
0.094	0.00854492	-0.00488281	0.022644	-0.00244141	
0.095	0.0134277	-0.000305176	0.0230103	-0.00305176	
0.096	0.00854492	0.0012207	0.0233765	-0.00335693	
0.097	0.00854492	0.000915527	0.0237427	-0.00396729	
0.098	0.010376	0.00305176	0.0241089	-0.00427246	
0.099	0.00732422	0.00213623	0.0244751	-0.00488281	
0.1	0.000305176	0.00213623	0.0248413	-0.00518799	
0.101	-0.00915527	-0.000610352	0.0251465	-0.00549316	
0.102	-0.015564	-0.00213623	0.0254517	-0.00610352	
0.103	-0.0128174	-0.00244141	0.0256958	-0.00640869	
0.104	-0.00915527	-0.00335693	0.0259399	-0.00701904	
0.105	-0.012207	-0.00396729	0.0261841	-0.00732422	
0.106	-0.0134277	-0.00305176	0.0263672	-0.00762939	
0.107	-0.0128174	-0.00396729	0.0266113	-0.00823975	
0.108	-0.0115967	-0.00610352	0.0268555	-0.00854492	
0.109	-0.00762939	-0.00549316	0.0270386	-0.00915527	
0.11	-0.00549316	-0.000915527	0.0272217	-0.00946045	
0.111	-0.00518799	0.00396729	0.0274048	-0.00976562	
0.112	-0.0100708	0.00579834	0.0275269	-0.010376	
0.113	-0.00671387	0.00396729	0.0276489	-0.0106812	
0.114	-0.00701904	0.000305176	0.02771	-0.0112915	
0.115	-0.0100708	-0.00457764	0.027832	-0.0115967	
0.116	-0.0137329	-0.00396729	0.0279541	-0.0119019	
0.117	-0.0146484	-0.00457764	0.0281372	-0.0125122	
0.118	-0.0125122	-0.00823975	0.0282593	-0.0128174	
0.119	-0.0112915	-0.00640869	0.0284424	-0.0134277	
0.12	-0.00640869	-0.00244141	0.0285645	-0.0137329	
0.121	-0.000305176	0	0.0287476	-0.0143433	
0.122	0.00671387	0.000305176	0.0288696	-0.0146484	
0.123	0.00701904	0	0.0289917	-0.0152588	
0.124	-0.00335693	0.00244141	0.0291138	-0.015564	
0.125	-0.000915527	0.0012207	0.0292969	-0.0161743	
0.126	-0.00274658	-0.00213623	0.02948	-0.0164795	
0.127	-0.00549316	-0.00274658	0.0296631	-0.0170898	
0.128	-0.00244141	-0.00518799	0.0299072	-0.017395	
0.129	-0.00457764	-0.00305176	0.0300903	-0.0180054	
0.13	-0.00823975	-0.00244141	0.0303345	-0.0183105	
0.131	0.00152588	-0.00366211	0.0305176	-0.0189209	
0.132	0.0125122	-0.00976562	0.0307007	-0.0192261	
0.133	0.0152588	-0.0115967	0.0308228	-0.0198364	
0.134	0.0106812	-0.00915527	0.0310059	-0.0204468	
0.135	0.00915527	-0.00823975	0.0311279	-0.020752	
0.136	0.00549316	-0.00732422	0.03125	-0.0213623	
0.137	0.00732422	-0.00823975	0.0314331	-0.0216675	
0.138	0.000610352	-0.00579834	0.0315552	-0.0222778	
0.139	0.00366211	-0.00396729	0.0316772	-0.022583	
0.14	0.0112915	-0.0012207	0.0317383	-0.0228882	
0.141	0.010376	0.0012207	0.0317383	-0.0234985	
0.142	0.00549316	-0.00274658	0.0317383	-0.0238037	
0.143	0.0125122	-0.00549316	0.0316772	-0.0244141	
0.144	0.0134277	-0.00274658	0.0315552	-0.0247192	
0.145	0.0112915	-0.00518799	0.0313721	-0.0250244	
0.146	0.00946045	-0.00396729	0.03125	-0.0256348	
0.147	0.0112915	-0.00274658	0.0310669	-0.0259399	
0.148	0.010376	-0.00457764	0.0308838	-0.0262451	
0.149	0.00610352	-0.00518799	0.0306396	-0.0268555	
0.15	-0.000610352	-0.00549316	0.0303955	-0.0271606	
0.151	-0.00549316	-0.00335693	0.0301514	-0.0274658	
0.152	-0.012207	-0.000610352	0.0298462	-0.0280762	
0.153	-0.0143433	-0.00183105	0.02948	-0.0283813	
0.154	-0.0170898	0.000305176	0.0291748	-0.0286865	
0.155	-0.0216675	0	0.0288086	-0.0292969	
0.156	-0.0274658	0.00274658	0.0285034	-0.0296021	
0.157	-0.0286865	0.00244141	0.0281982	-0.0299072	
0.158	-0.027771	0.00213623	0.0278931	-0.0305176	
0.159	-0.0219727	0.000915527	0.0276489	-0.0308228	
0.16	-0.0222778	-0.000610352	0.0273438	-0.0314331	
0.161	-0.0177002	0.000610352	0.0270386	-0.0317383	
0.162	-0.00701904	0.0012207	0.0266724	-0.0323486	
0.163	0.00488281	0.0012207	0.0263672	-0.032959	
0.164	0.00579834	0	0.026062	-0.0332642	
