hak.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60660	60660	60660	60660	
0	-0.0445557	-0.00213623	0.0996704	0.192566	
0.001	-0.0338745	-0.000915527	0.0990601	0.191956	
0.002	-0.0186157	-0.00335693	0.0984497	0.191345	
0.003	-0.00671387	0.000915527	0.0979004	0.190735	
0.004	-0.00213623	0.00274658	0.0973511	0.190125	
0.005	-0.00244141	-0.00183105	0.0968628	0.189209	
0.006	0	0.00244141	0.0963745	0.188599	
0.007	0.015564	0.00396729	0.0960083	0.187988	
0.008	0.0247192	0	0.0956421	0.187073	
0.009	0.0271606	-0.00610352	0.0953369	0.186462	
0.01	0.0250244	0.00152588	0.0950928	0.185547	
0.011	0.0219727	-0.00274658	0.0948486	0.184937	
0.012	0.0192261	-0.00793457	0.0946655	0.184021	
0.013	0.0183105	-0.00915527	0.0945435	0.183105	
0.014	0.00946045	-0.0109863	0.0944214	0.182495	
0.015	-0.00244141	-0.00946045	0.0942383	0.18158	
0.016	-0.0231934	-0.00762939	0.0941162	0.180664	
0.017	-0.0323486	-0.00793457	0.0939941	0.179749	
0.018	-0.0247192	-0.00366211	0.0939331	0.178833	
0.019	-0.00915527	0.00457764	0.0938721	0.177917	
0.02	0.00671387	0.00610352	0.0938721	0.177002	
0.021	0.0146484	0.00457764	0.0939331	0.176086	
0.022	0.0234985	0.00152588	0.0939941	0.175171	
0.023	0.0360107	0.00213623	0.0940552	0.174255	
0.024	0.0390625	0.00183105	0.0941162	0.173035	
0.025	0.0286865	-0.000915527	0.0941772	0.172119	
0.026	0.0204468	-0.000305176	0.0942383	0.171204	
0.027	0.0112915	-0.000610352	0.0942993	0.170288	
0.028	0.00671387	-0.00183105	0.0944214	0.169373	
0.029	0.00823975	-0.00549316	0.0944824	0.168152	
0.03	0.00823975	-0.00427246	0.0946655	0.167236	
0.031	0.00427246	-0.0012207	0.0948486	0.166321	
0.032	-0.00396729	0	0.0950317	0.165405	
0.033	-0.00488281	0.00335693	0.0952148	0.164185	
0.034	-0.00183105	0.00427246	0.0953979	0.163269	
0.035	0.00396729	0.00579834	0.0956421	0.162354	
0.036	0.00183105	0.00305176	0.0958862	0.161438	
0.037	0.00274658	0.00152588	0.0961304	0.160522	
0.038	-0.00366211	0.000305176	0.0964355	0.159302	
0.039	-0.0140381	0.000915527	0.0968018	0.158386	
0.04	-0.0201416	0.00335693	0.097168	0.157471	
0.041	-0.0119019	0.00244141	0.0975342	0.156555	
0.042	-0.017395	0.00457764	0.0979614	0.155334	
0.043	-0.0192261	0.00518799	0.0983887	0.154419	
0.044	-0.0088501	0.00701904	0.0987549	0.153198	
0.045	-0.000610352	0.00854492	0.0991821	0.152283	
0.046	0.00366211	0.00244141	0.0995483	0.151062	
0.047	-0.00244141	0.0012207	0.100037	0.150146	
0.048	0	-0.000610352	0.100464	0.148926	
0.049	0.00305176	-0.00152588	0.101013	0.147705	
0.05	0.000305176	-0.000915527	0.101562	0.14679	
0.051	-0.00518799	-0.00213623	0.102112	0.145569	
0.052	-0.0112915	0.00305176	0.102661	0.144348	
0.053	-0.0195312	0.00488281	0.10321	0.143127	
0.054	-0.0262451	0.000610352	0.10376	0.141907	
0.055	-0.0305176	0.0012207	0.104309	0.140991	
0.056	-0.0265503	0.00244141	0.104797	0.139771	
0.057	-0.0198364	0.00396729	0.105347	0.13855	
0.058	-0.0161743	0.00183105	0.105835	0.137329	
0.059	-0.0109863	0.00305176	0.106323	0.136108	
0.06	-0.0164795	0.00366211	0.106873	0.135193	
0.061	-0.0170898	0.00274658	0.107422	0.133972	
0.062	-0.0198364	-0.000305176	0.108032	0.133057	
0.063	-0.027771	0.000305176	0.108582	0.131836	
0.064	-0.0204468	0.00183105	0.109131	0.13092	
0.065	-0.0115967	0.0012207	0.109619	0.130005	
0.066	-0.00549316	0.00152588	0.110107	0.128784	
0.067	0.00549316	0	0.110596	0.127869	
0.068	0.017395	0	0.111145	0.126953	
0.069	0.0234985	0.00152588	0.111633	0.126038	
0.07	0.0109863	0	0.112122	0.125427	
0.071	0.0115967	0.00396729	0.112671	0.124512	
0.072	0.0186157	-0.000610352	0.11322	0.123596	
0.073	0.017395	-0.00366211	0.11377	0.122681	
0.074	0.00335693	-0.00610352	0.114258	0.12207	
0.075	-0.00396729	-0.00549316	0.114746	0.121155	
0.076	-0.00793457	-0.00274658	0.115173	0.120544	
0.077	-0.0134277	0.00244141	0.115601	0.119629	
0.078	-0.0201416	0.00610352	0.116028	0.119019	
0.079	-0.0241089	0.00793457	0.116394	0.118103	
0.08	-0.0192261	0.00549316	0.116821	0.117493	
0.081	-0.0213623	0.00335693	0.117188	0.116882	
0.082	-0.0210571	0.00457764	0.117554	0.115967	
0.083	-0.0109863	0.00579834	0.11792	0.115356	
0.084	-0.00518799	0.00396729	0.118225	0.114441	
0.085	-0.000305176	0.000305176	0.11853	0.113831	
0.086	0.00915527	-0.000610352	0.118774	0.11322	
0.087	0.0146484	-0.000305176	0.118958	0.112305	
0.088	0.0259399	-0.00183105	0.119202	0.111694	
0.089	0.0323486	-0.00427246	0.119446	0.110779	
0.09	0.0317383	-0.00152588	0.11969	0.110168	
0.091	0.0244141	-0.000915527	0.119934	0.109253	
0.092	0.0164795	0.00152588	0.120117	0.108643	
0.093	-0.00396729	-0.0012207	0.120361	0.107727	
0.094	-0.0213623	-0.00701904	0.120544	0.107117	
0.095	-0.017395	-0.00335693	0.120667	0.106201	
