klasik.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60505	60505	60505	60505	
0	0.0115967	-0.00946045	-0.0389404	-0.088501	
0.001	0.00823975	-0.00457764	-0.0404663	-0.0878906	
0.002	0.00701904	0.000305176	-0.0419312	-0.0872803	
0.003	0.00518799	0.00640869	-0.043457	-0.0869751	
0.004	0.00366211	0.00457764	-0.0449829	-0.0863647	
0.005	0.00213623	-0.000610352	-0.0464478	-0.0857544	
0.006	0.00244141	-0.00366211	-0.0479736	-0.085144	
0.007	0.00640869	-0.00854492	-0.0494385	-0.0848389	
0.008	0.0088501	-0.012207	-0.0508423	-0.0842285	
0.009	0.0115967	-0.010376	-0.0522461	-0.0836182	
0.01	0.0119019	-0.0100708	-0.0535889	-0.0830078	
0.011	0.012207	-0.0109863	-0.0549316	-0.0827026	
0.012	0.0134277	-0.0119019	-0.0562744	-0.0820923	
0.013	0.0112915	-0.0131226	-0.0576782	-0.0814819	
0.014	0.00366211	-0.00610352	-0.059021	-0.0808716	
0.015	0.000305176	-0.00549316	-0.0603638	-0.0805664	
0.016	-0.00366211	-0.00579834	-0.0617065	-0.0799561	
0.017	-0.00488281	-0.0119019	-0.0630493	-0.0793457	
0.018	-0.00518799	-0.0146484	-0.0643921	-0.0787354	
0.019	-0.00518799	-0.017395	-0.0656738	-0.078125	
0.02	-0.0088501	-0.0161743	-0.0669556	-0.0778198	
0.021	-0.010376	-0.0146484	-0.0682373	-0.0772095	
0.022	-0.015564	-0.0149536	-0.0695801	-0.0765991	
0.023	-0.0164795	-0.00946045	-0.0709229	-0.0759888	
0.024	-0.0112915	-0.00854492	-0.0723267	-0.0753784	
0.025	-0.0119019	-0.0088501	-0.0737305	-0.0750732	
0.026	-0.00915527	-0.0134277	-0.0751343	-0.0744629	
0.027	-0.00793457	-0.0119019	-0.0765381	-0.0738525	
0.028	-0.00366211	-0.00915527	-0.0778809	-0.0732422	
0.029	0.000305176	-0.00671387	-0.0792236	-0.0726318	
0.03	0.00244141	0.00183105	-0.0805664	-0.0723267	
0.031	0.00274658	-0.00305176	-0.0819092	-0.0717163	
0.032	0.00549316	-0.0088501	-0.083252	-0.071106	
0.033	0.0106812	-0.0112915	-0.0845947	-0.0704956	
0.034	0.0128174	-0.0149536	-0.0859985	-0.0698853	
0.035	0.0143433	-0.0146484	-0.0874023	-0.0692749	
0.036	0.0164795	-0.0100708	-0.0888062	-0.0689697	
0.037	0.0170898	-0.00793457	-0.0901489	-0.0683594	
0.038	0.0106812	-0.000305176	-0.0914917	-0.067749	
0.039	0.00793457	-0.00335693	-0.0928345	-0.0671387	
0.04	0.0109863	-0.00946045	-0.0941772	-0.0665283	
0.041	0.0125122	-0.0100708	-0.095459	-0.0662231	
0.042	0.0115967	-0.00854492	-0.0967407	-0.0656128	
0.043	0.0109863	-0.00640869	-0.0980835	-0.0650024	
0.044	0.0158691	-0.0112915	-0.0994263	-0.0643921	
0.045	0.0192261	-0.0219727	-0.100769	-0.0637817	
0.046	0.017395	-0.0228882	-0.102112	-0.0631714	
0.047	0.00488281	-0.0180054	-0.103394	-0.0628662	
0.048	-0.000610352	-0.0167847	-0.104736	-0.0622559	
0.049	-0.00305176	-0.0131226	-0.106018	-0.0616455	
0.05	-0.00457764	-0.0119019	-0.1073	-0.0610352	
0.051	-0.0137329	-0.0152588	-0.108521	-0.0604248	
0.052	-0.0231934	-0.0140381	-0.109802	-0.0601196	
0.053	-0.0186157	-0.00793457	-0.111023	-0.0595093	
0.054	-0.0140381	-0.012207	-0.112305	-0.0588989	
0.055	-0.00701904	-0.00366211	-0.113586	-0.0582886	
0.056	0.000305176	-0.00335693	-0.114807	-0.0579834	
0.057	0.00732422	-0.00396729	-0.116089	-0.057373	
0.058	-0.000915527	-0.00946045	-0.11731	-0.0567627	
0.059	-0.0112915	-0.00488281	-0.118469	-0.0564575	
0.06	-0.0134277	0.00427246	-0.119629	-0.0558472	
0.061	-0.015564	-0.0119019	-0.120789	-0.0552368	
0.062	-0.0149536	-0.00762939	-0.121948	-0.0549316	
0.063	-0.0109863	-0.00457764	-0.123169	-0.0543213	
0.064	-0.000915527	-0.0115967	-0.124329	-0.0540161	
0.065	0.00793457	-0.0088501	-0.125549	-0.0534058	
0.066	0.0228882	-0.00946045	-0.12677	-0.0531006	
0.067	0.0280762	-0.00823975	-0.127991	-0.0524902	
0.068	0.0238037	-0.00640869	-0.12915	-0.0518799	
0.069	0.0128174	-0.00335693	-0.13031	-0.0515747	
0.07	0.00518799	-0.00213623	-0.13147	-0.0512695	
0.071	0.00762939	-0.00366211	-0.132629	-0.0506592	
0.072	0.00671387	-0.00152588	-0.133789	-0.050354	
0.073	0.0012207	-0.00915527	-0.13501	-0.0497437	
0.074	0.00183105	-0.0152588	-0.13623	-0.0494385	
0.075	-0.0012207	0.00244141	-0.137451	-0.0488281	
0.076	-0.00427246	-0.000610352	-0.138733	-0.0485229	
0.077	-0.00701904	-0.00488281	-0.139954	-0.0479126	
0.078	-0.000915527	0.000305176	-0.141174	-0.0473022	
0.079	0.00274658	0	-0.142395	-0.0469971	
0.08	0.0109863	-0.00488281	-0.143616	-0.0463867	
0.081	0.020752	-0.00701904	-0.144836	-0.0457764	
0.082	0.0299072	-0.0125122	-0.146057	-0.045166	
0.083	0.0250244	-0.0143433	-0.147278	-0.0445557	
0.084	0.0216675	-0.015564	-0.148499	-0.0439453	
0.085	0.0228882	-0.0222778	-0.149719	-0.043335	
0.086	0.0241089	-0.0247192	-0.15094	-0.0427246	
0.087	0.039978	-0.0222778	-0.152161	-0.0421143	
0.088	0.0411987	-0.0192261	-0.15332	-0.0411987	
0.089	0.032959	-0.020752	-0.15448	-0.0405884	
0.09	0.0271606	-0.0231934	-0.155579	-0.0396729	
0.091	0.0216675	-0.0180054	-0.156677	-0.0387573	
0.092	0.0204468	-0.00305176	-0.157837	-0.038147	
0.093	0.0152588	-0.0189209	-0.158997	-0.0372314	
0.094	0.00335693	-0.017395	-0.160156	-0.0363159	
0.095	0.00274658	-0.000915527	-0.161316	-0.0354004	
0.096	0.00579834	-0.000915527	-0.162476	-0.0344849	
0.097	0.000610352	0	-0.163635	-0.0335693	
0.098	-0.0112915	-0.00305176	-0.164795	-0.0326538	
0.099	-0.0167847	-0.00396729	-0.165955	-0.0317383	
0.1	-0.0143433	-0.00457764	-0.167053	-0.0308228	
0.101	-0.0140381	-0.00549316	-0.168213	-0.0299072	
0.102	-0.0183105	-0.0106812	-0.169312	-0.0289917	
0.103	-0.0280762	-0.0115967	-0.170471	-0.0280762	
0.104	-0.0274658	-0.00732422	-0.171631	-0.0274658	
0.105	-0.0262451	-0.00946045	-0.172852	-0.0265503	
0.106	-0.0292969	-0.0115967	-0.174011	-0.0256348	
0.107	-0.0250244	-0.0149536	-0.175171	-0.0250244	
0.108	-0.0213623	-0.0128174	-0.176331	-0.0241089	
0.109	-0.0192261	-0.0106812	-0.17749	-0.0234985	
0.11	-0.0140381	-0.0112915	-0.178589	-0.0228882	
0.111	-0.00732422	-0.00915527	-0.179749	-0.0222778	
0.112	-0.000610352	-0.0106812	-0.180847	-0.0213623	
0.113	0.00488281	-0.00396729	-0.181946	-0.020752	
0.114	0.00946045	-0.000610352	-0.182983	-0.0201416	
0.115	0.017395	0.0012207	-0.184082	-0.0195312	
0.116	0.0180054	0.0012207	-0.18512	-0.0189209	
0.117	0.012207	-0.00305176	-0.186157	-0.0183105	
0.118	0.00549316	-0.00366211	-0.187134	-0.0177002	
0.119	-0.000915527	-0.00579834	-0.18811	-0.0170898	
0.12	-0.00793457	-0.00701904	-0.189026	-0.0164795	
0.121	-0.00610352	-0.0125122	-0.18988	-0.0158691	
0.122	-0.00183105	-0.0128174	-0.190796	-0.0152588	
0.123	0.00305176	-0.00640869	-0.19165	-0.0146484	
0.124	0.00213623	-0.00915527	-0.192566	-0.0140381	
0.125	0	-0.0112915	-0.193481	-0.0134277	
0.126	0.0012207	-0.0131226	-0.194336	-0.0128174	
0.127	0.00671387	-0.0158691	-0.19519	-0.012207	
0.128	0.00762939	-0.0152588	-0.196045	-0.0115967	
0.129	0.0112915	-0.00793457	-0.196899	-0.0109863	
0.13	0.0115967	-0.00183105	-0.197693	-0.0100708	
0.131	0.00823975	-0.00183105	-0.198486	-0.00946045	
0.132	0.012207	-0.00640869	-0.19928	-0.0088501	
