lif.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60495	60495	60495	60495	
0	0.0134277	-0.0012207	0.102844	0.332336	
0.001	0.00671387	-0.00274658	0.101807	0.332031	
0.002	0.00152588	-0.00793457	0.100769	0.331726	
0.003	-0.00427246	-0.00579834	0.0998535	0.331421	
0.004	-0.00274658	0.000305176	0.098999	0.330811	
0.005	0.00274658	0.000915527	0.0981445	0.330505	
0.006	0.000915527	0.00183105	0.0973511	0.3302	
0.007	0.00671387	-0.00244141	0.0965576	0.329895	
0.008	0.00701904	-0.00671387	0.0958252	0.32959	
0.009	0.00427246	-0.010376	0.0950317	0.329285	
0.01	0.00335693	-0.0106812	0.0942993	0.328979	
0.011	0.00244141	-0.00732422	0.0936279	0.328674	
0.012	-0.00701904	-0.00457764	0.0930176	0.328369	
0.013	-0.00640869	-0.000610352	0.0924072	0.328064	
0.014	-0.00518799	0.00671387	0.0917969	0.327454	
0.015	-0.00640869	0.0100708	0.0913086	0.327148	
0.016	-0.0125122	0.0106812	0.0907593	0.326843	
0.017	-0.0222778	0.00915527	0.09021	0.326538	
0.018	-0.0259399	0.010376	0.0896606	0.326233	
0.019	-0.0262451	0.00305176	0.0891113	0.325928	
0.02	-0.0228882	0.00244141	0.088623	0.325928	
0.021	-0.0167847	0.000305176	0.0880737	0.325623	
0.022	-0.00732422	0.00183105	0.0875854	0.325317	
0.023	-0.00823975	0.00305176	0.0871582	0.325012	
0.024	-0.00244141	-0.000610352	0.086731	0.324707	
0.025	0.00366211	-0.00183105	0.0863647	0.324402	
0.026	0.00457764	-0.00671387	0.0859985	0.324097	
0.027	0.00152588	-0.00732422	0.0856323	0.323792	
0.028	-0.000915527	-0.00793457	0.0852661	0.323486	
0.029	0.000305176	-0.00976562	0.0848999	0.323181	
0.03	-0.00274658	-0.00762939	0.0845947	0.322876	
0.031	-0.0161743	-0.00457764	0.0843506	0.322571	
0.032	-0.0256348	0.000305176	0.0841675	0.322266	
0.033	-0.0228882	0.00579834	0.0840454	0.32196	
0.034	-0.0134277	-0.000305176	0.0839844	0.32135	
0.035	-0.00640869	-0.00823975	0.0839844	0.321045	
0.036	-0.00549316	0	0.0839844	0.32074	
0.037	-0.00488281	0	0.0840454	0.320435	
0.038	-0.00671387	0.00305176	0.0841064	0.320129	
