nothing.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60460	60460	60460	60460	
0	-0.00579834	-0.00579834	-0.152283	-0.0946045	
0.001	-0.00579834	-0.00427246	-0.152588	-0.0946045	
0.002	-0.00946045	-0.00213623	-0.152893	-0.0946045	
0.003	-0.0100708	-0.00335693	-0.153198	-0.0946045	
0.004	-0.00488281	-0.00396729	-0.153503	-0.0946045	
0.005	-0.00335693	-0.00396729	-0.153809	-0.0946045	
0.006	0.000305176	-0.00152588	-0.154114	-0.0949097	
0.007	0.00366211	-0.000305176	-0.15448	-0.0949097	
0.008	0.00793457	-0.00183105	-0.154785	-0.0949097	
0.009	0.00915527	-0.00183105	-0.15509	-0.0949097	
0.01	0.00549316	-0.00244141	-0.155334	-0.0949097	
0.011	0.00793457	-0.00152588	-0.155579	-0.0949097	
0.012	0.00732422	-0.00366211	-0.155762	-0.0952148	
0.013	0.00488281	-0.00457764	-0.156006	-0.0952148	
0.014	0.00213623	-0.000915527	-0.156189	-0.0952148	
0.015	-0.00701904	-0.000305176	-0.156372	-0.09552	
0.016	-0.00976562	-0.000915527	-0.156555	-0.09552	
0.017	0.00305176	-0.0012207	-0.156799	-0.09552	
0.018	0.00274658	-0.00488281	-0.156982	-0.0958252	
0.019	-0.00518799	-0.00335693	-0.157166	-0.0958252	
0.02	-0.00183105	0.000610352	-0.157349	-0.0961304	
0.021	0.00427246	-0.000610352	-0.157471	-0.0964355	
0.022	0.00366211	-0.00152588	-0.157654	-0.0964355	
0.023	0.000915527	0.00152588	-0.157776	-0.0967407	
0.024	0.000305176	0	-0.157898	-0.0970459	
0.025	-0.00854492	-0.0012207	-0.158081	-0.0970459	
0.026	-0.0152588	-0.00213623	-0.158264	-0.0973511	
0.027	-0.015564	0.00183105	-0.158508	-0.0976562	
0.028	-0.0140381	0.00183105	-0.158691	-0.0979614	
0.029	-0.00701904	-0.000915527	-0.158936	-0.0982666	
0.03	-0.00518799	-0.00335693	-0.159119	-0.0985718	
0.031	-0.0088501	-0.00366211	-0.159363	-0.098877	
0.032	-0.00915527	-0.00396729	-0.159546	-0.0991821	
0.033	-0.00823975	-0.00366211	-0.15979	-0.0994873	
0.034	-0.0143433	-0.000305176	-0.160034	-0.100098	
0.035	-0.015564	0	-0.160278	-0.100403	
0.036	-0.00732422	0.00152588	-0.160583	-0.100708	
0.037	-0.00549316	0.00244141	-0.160889	-0.101013	
0.038	-0.00305176	0.000915527	-0.161255	-0.101624	
0.039	0.00244141	0.00183105	-0.16156	-0.101929	
0.04	0.00640869	0.00366211	-0.161865	-0.102539	
0.041	0.00518799	0.00732422	-0.16217	-0.102844	
0.042	0.00305176	0.00579834	-0.162415	-0.103149	
0.043	0.00305176	0.00518799	-0.16272	-0.10376	
0.044	0.00549316	0.00793457	-0.162964	-0.104065	
0.045	0.00640869	0.00457764	-0.163208	-0.104675	
0.046	0.010376	0.0012207	-0.163513	-0.10498	
0.047	0.0134277	0.000915527	-0.163818	-0.105591	
0.048	0.012207	-0.000610352	-0.164124	-0.105896	
0.049	0.0112915	-0.00274658	-0.164429	-0.106201	
0.05	0.00701904	-0.0012207	-0.164734	-0.106812	
0.051	0.00244141	0.00213623	-0.164978	-0.107117	
0.052	0.00335693	0.00183105	-0.165283	-0.107422	
0.053	0.00457764	-0.000305176	-0.165527	-0.108032	
0.054	0.000610352	-0.00640869	-0.165771	-0.108337	
0.055	0.00152588	-0.00946045	-0.166077	-0.108643	
0.056	0.00274658	-0.00457764	-0.166321	-0.109253	
0.057	0.00366211	-0.00213623	-0.166626	-0.109558	
0.058	0.00335693	-0.00274658	-0.16687	-0.109863	
0.059	0.0088501	-0.0012207	-0.167175	-0.110168	
0.06	0.00579834	-0.00427246	-0.167358	-0.110779	
0.061	0.00366211	-0.00335693	-0.167603	-0.111084	
0.062	-0.000305176	-0.00183105	-0.167786	-0.111389	
0.063	-0.00518799	-0.000305176	-0.167969	-0.111694	
0.064	-0.0119019	-0.00366211	-0.168213	-0.112305	
0.065	-0.0109863	-0.00213623	-0.168396	-0.11261	
0.066	-0.0106812	0.00274658	-0.16864	-0.112915	
0.067	-0.010376	-0.00244141	-0.168945	-0.113525	
0.068	-0.00793457	-0.00274658	-0.169189	-0.113831	
0.069	-0.0137329	0	-0.169434	-0.114136	
0.07	-0.00976562	0	-0.169678	-0.114746	
0.071	-0.00152588	-0.000610352	-0.169922	-0.115051	
0.072	0.00793457	-0.00183105	-0.170105	-0.115662	
0.073	0.00518799	-0.00335693	-0.170349	-0.115967	
0.074	0.00244141	-0.00366211	-0.170593	-0.116272	
0.075	0.00335693	-0.00244141	-0.170898	-0.116882	
0.076	0.00274658	-0.00244141	-0.171143	-0.117493	
0.077	-0.00274658	-0.00244141	-0.171509	-0.117798	
0.078	-0.00732422	-0.00244141	-0.171814	-0.118408	
0.079	-0.00335693	0.00305176	-0.17218	-0.118713	
0.08	-0.0125122	0.00274658	-0.172485	-0.119324	
0.081	-0.0088501	0.00610352	-0.172791	-0.119629	
0.082	0.00213623	0.00610352	-0.173096	-0.120239	
0.083	0.00366211	0.000915527	-0.173401	-0.120544	
0.084	-0.00183105	-0.00152588	-0.173767	-0.121155	
0.085	-0.00640869	0.000915527	-0.174072	-0.121765	
0.086	-0.00335693	0.00427246	-0.174438	-0.12207	
0.087	-0.000305176	0.00274658	-0.174805	-0.122681	
0.088	-0.00305176	0.00427246	-0.175171	-0.122986	
0.089	-0.00152588	0.000915527	-0.175476	-0.123291	
0.09	-0.00244141	-0.00213623	-0.17572	-0.123901	
0.091	-0.000305176	-0.00244141	-0.175964	-0.124207	
0.092	0	0.00152588	-0.176086	-0.124817	
0.093	0	0.00152588	-0.176208	-0.125122	
0.094	0.00793457	-0.00274658	-0.176331	-0.125427	
0.095	0.00976562	-0.00152588	-0.176453	-0.126038	
0.096	0.00579834	-0.000305176	-0.176514	-0.126343	
0.097	-0.000305176	-0.0012207	-0.176575	-0.126648	
0.098	0.00305176	0.00274658	-0.176575	-0.126953	
0.099	0.00183105	0.0012207	-0.176514	-0.127258	
0.1	0.00579834	0.000305176	-0.176392	-0.127869	
0.101	0.00549316	0.000305176	-0.176208	-0.128174	
0.102	0.00793457	-0.000305176	-0.175903	-0.128479	
0.103	0.00579834	-0.000610352	-0.175598	-0.128784	
0.104	-0.00305176	-0.00213623	-0.175232	-0.129089	
0.105	-0.010376	-0.00274658	-0.174805	-0.129395	
0.106	-0.010376	-0.00274658	-0.174377	-0.130005	
