reference.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	25900	25900	25900	25900	
0	-0.0344849	-0.0137329	-0.00183105	0.0735474	
0.001	-0.0473022	-0.0125122	-0.00268555	0.0732422	
0.002	-0.0463867	-0.0137329	-0.00354004	0.072937	
0.003	-0.0418091	-0.0128174	-0.00445557	0.0723267	
0.004	-0.0274658	-0.0198364	-0.00531006	0.0720215	
0.005	-0.0100708	-0.022583	-0.00616455	0.0717163	
0.006	-0.00183105	-0.0195312	-0.00701904	0.0714111	
0.007	0.0143433	-0.0216675	-0.00787354	0.071106	
0.008	0.0128174	-0.0238037	-0.00866699	0.0704956	
0.009	0.0109863	-0.0192261	-0.00939941	0.0701904	
0.01	0.0161743	-0.0186157	-0.0101929	0.0698853	
0.011	0.0128174	-0.0146484	-0.0109253	0.0695801	
0.012	-0.00701904	-0.0119019	-0.0116577	0.0689697	
0.013	-0.0183105	-0.0115967	-0.0124512	0.0686646	
0.014	-0.0357056	-0.0100708	-0.0132446	0.0683594	
0.015	-0.0427246	-0.0128174	-0.0140381	0.067749	
0.016	-0.0424194	-0.0131226	-0.0148315	0.0674438	
0.017	-0.0457764	-0.0125122	-0.015625	0.0668335	
0.018	-0.0320435	-0.0119019	-0.0163574	0.0665283	
0.019	-0.00610352	-0.00915527	-0.0170898	0.065918	
0.02	0.00457764	-0.0106812	-0.0177612	0.0656128	
0.021	0	-0.012207	-0.0184937	0.0653076	
0.022	-0.00976562	-0.017395	-0.0192871	0.0646973	
0.023	-0.0112915	-0.0213623	-0.0200806	0.0643921	
0.024	-0.0119019	-0.0204468	-0.020874	0.0637817	
0.025	0.0140381	-0.0222778	-0.0216675	0.0634766	
0.026	0.0393677	-0.0241089	-0.0224609	0.0631714	
0.027	0.0546265	-0.0231934	-0.0233154	0.062561	
0.028	0.0537109	-0.0216675	-0.0241089	0.0622559	
0.029	0.0445557	-0.0204468	-0.0248413	0.0619507	
0.03	0.0341797	-0.0183105	-0.0256348	0.0613403	
0.031	0.03479	-0.0192261	-0.0264282	0.0610352	
0.032	0.0393677	-0.0222778	-0.0272217	0.06073	
0.033	0.0262451	-0.0222778	-0.0280762	0.0604248	
0.034	-0.00396729	-0.0158691	-0.0288696	0.0598145	
0.035	-0.0357056	-0.00854492	-0.0297852	0.0595093	
0.036	-0.0643921	-0.00549316	-0.0306396	0.0592041	
0.037	-0.0576782	-0.0119019	-0.0314941	0.0588989	
0.038	-0.0509644	-0.0106812	-0.0323486	0.0585938	
0.039	-0.0402832	-0.0119019	-0.0331421	0.0579834	
0.04	-0.0335693	-0.0106812	-0.0339966	0.0576782	
0.041	-0.0283813	-0.0128174	-0.0348511	0.057373	
0.042	-0.017395	-0.015564	-0.0357666	0.0570679	
0.043	-0.00457764	-0.0149536	-0.0366821	0.0564575	
0.044	-0.00335693	-0.0115967	-0.0375977	0.0561523	
0.045	-0.00396729	-0.0143433	-0.0385742	0.0558472	
0.046	-0.00366211	-0.0164795	-0.0394897	0.055542	
0.047	-0.00335693	-0.015564	-0.0404663	0.0549316	
