small.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	62020	62020	62020	62020	
0	-0.00335693	-0.00305176	0.10022	-0.098877	
0.001	0.000915527	-0.00457764	0.100037	-0.098877	
0.002	0.0238037	-0.00274658	0.0999146	-0.0991821	
0.003	0.0302124	-0.00213623	0.0997314	-0.0994873	
0.004	0.0299072	-0.00244141	0.0996094	-0.0997925	
0.005	0.0280762	-0.00518799	0.0994263	-0.100098	
0.006	0.0228882	0.00183105	0.0991821	-0.100403	
0.007	0.012207	0.000915527	0.098999	-0.100708	
0.008	0.00213623	-0.000915527	0.0986938	-0.101013	
0.009	-0.010376	0.00152588	0.0984497	-0.101013	
0.01	-0.0250244	0.00183105	0.0981445	-0.101318	
0.011	-0.0317383	0.0012207	0.0979004	-0.101624	
0.012	-0.0360107	-0.00305176	0.0975952	-0.101929	
0.013	-0.0393677	0.00213623	0.0973511	-0.101929	
0.014	-0.0335693	-0.000915527	0.0971069	-0.102234	
0.015	-0.0186157	-0.00427246	0.0969238	-0.102539	
0.016	-0.00579834	-0.00396729	0.0966187	-0.102844	
0.017	-0.00732422	-0.00305176	0.0963745	-0.102844	
0.018	-0.00335693	-0.00213623	0.0960083	-0.103149	
0.019	-0.000610352	-0.00183105	0.0957031	-0.103455	
0.02	-0.000305176	-0.00335693	0.0953369	-0.10376	
0.021	0.00427246	0.0012207	0.0949707	-0.10376	
0.022	0.00305176	0.0012207	0.0946655	-0.104065	
0.023	0.00518799	-0.00305176	0.0942993	-0.10437	
0.024	0.00793457	-0.00305176	0.0939331	-0.104675	
0.025	0.00152588	0	0.0935669	-0.104675	
0.026	0.000915527	-0.0012207	0.0932007	-0.10498	
0.027	0.00366211	-0.00274658	0.0927734	-0.105286	
0.028	0.00457764	0.000305176	0.0922852	-0.105591	
0.029	0.000305176	-0.00152588	0.0918579	-0.105591	
0.03	0.00366211	0.00152588	0.0913086	-0.105896	
0.031	0.00488281	0.00244141	0.0908203	-0.106201	
0.032	-0.00366211	0.00335693	0.090332	-0.106201	
0.033	-0.00427246	0.00396729	0.0898438	-0.106506	
0.034	-0.000610352	-0.00244141	0.0893555	-0.106812	
0.035	-0.000610352	-0.00427246	0.0888672	-0.107117	
0.036	-0.00549316	-0.00274658	0.0883179	-0.107117	
0.037	-0.00579834	-0.00488281	0.0877686	-0.107422	
0.038	-0.0115967	-0.00396729	0.0872192	-0.107727	
0.039	-0.0125122	-0.00823975	0.0866089	-0.107727	
0.04	-0.00640869	-0.00274658	0.0859375	-0.108032	
0.041	-0.00335693	-0.00152588	0.0853271	-0.108337	
0.042	-0.00457764	-0.00244141	0.0847168	-0.108337	
0.043	-0.00793457	-0.00152588	0.0840454	-0.108643	
0.044	-0.0109863	-0.00335693	0.0834351	-0.108948	
0.045	-0.022583	-0.00152588	0.0827637	-0.109253	
0.046	-0.0305176	0.00457764	0.0820923	-0.109253	
0.047	-0.0262451	0.00854492	0.0812988	-0.109558	
0.048	-0.0201416	0.0109863	0.0805054	-0.109863	
0.049	-0.0119019	0.00823975	0.0796509	-0.110168	
0.05	-0.00793457	0.00518799	0.0787354	-0.110168	
0.051	0.00335693	0.00366211	0.0778809	-0.110474	
0.052	0.00396729	-0.00152588	0.0769653	-0.110779	
0.053	0.010376	-0.00183105	0.0759888	-0.110779	
0.054	0.00854492	-0.00152588	0.0750732	-0.111084	
0.055	0.00366211	0.000915527	0.0740967	-0.111389	
0.056	-0.00183105	-0.000610352	0.0731201	-0.111694	
0.057	-0.00518799	-0.000610352	0.0720825	-0.111694	
0.058	-0.00213623	0.00152588	0.0710449	-0.112	
0.059	-0.00640869	0.00579834	0.0699463	-0.112305	
0.06	-0.00427246	0.00518799	0.0687866	-0.11261	
0.061	-0.00610352	0.00701904	0.067688	-0.11261	
0.062	-0.00915527	0.0088501	0.0665894	-0.112915	
0.063	-0.0140381	0.00610352	0.0654907	-0.11322	
0.064	-0.010376	0.00335693	0.0643311	-0.113525	
0.065	-0.00701904	-0.000915527	0.0632324	-0.113831	
0.066	0	0.000305176	0.0621338	-0.113831	
0.067	0.00793457	0.00549316	0.0610352	-0.114136	
0.068	0.00640869	0.00244141	0.0598755	-0.114441	
0.069	0.00183105	0.000610352	0.0587769	-0.114441	
0.07	-0.00152588	0.000305176	0.0576172	-0.114746	
0.071	-0.00701904	-0.00213623	0.0565186	-0.115051	
0.072	-0.00579834	0	0.055481	-0.115356	
0.073	0.00396729	0.00366211	0.0543823	-0.115356	
0.074	0.00183105	0.00396729	0.0533447	-0.115662	
0.075	0.000305176	-0.000610352	0.0523682	-0.115967	
0.076	-0.000305176	-0.00305176	0.0513306	-0.115967	
0.077	0.00640869	0.000915527	0.0502319	-0.116272	
0.078	0.00640869	-0.00305176	0.0491943	-0.116577	
0.079	0.00610352	-0.00335693	0.0480957	-0.116577	
0.08	0.00701904	-0.00244141	0.0469971	-0.116882	
0.081	0.00396729	0.00152588	0.0458984	-0.116882	
0.082	-0.00549316	0.00701904	0.0448608	-0.117188	
0.083	-0.0131226	0.00274658	0.0438232	-0.117493	
0.084	-0.0100708	0.0012207	0.0427856	-0.117493	
0.085	0.00335693	0.0012207	0.041748	-0.117798	
0.086	0.00732422	-0.00183105	0.0407104	-0.117798	
0.087	0.00335693	-0.000305176	0.0396729	-0.118103	
0.088	0.00396729	-0.000305176	0.0385742	-0.118103	
0.089	-0.0012207	0.000610352	0.0374756	-0.118408	
0.09	-0.000915527	0.000915527	0.036377	-0.118408	
0.091	0.00457764	-0.0012207	0.0352783	-0.118713	
0.092	0.00305176	-0.00183105	0.0341797	-0.118713	
0.093	0.00427246	-0.00152588	0.0330811	-0.119019	
0.094	0.0140381	-0.0012207	0.0319824	-0.119019	
0.095	0.0213623	0.0012207	0.0308838	-0.119324	
0.096	0.0137329	0.00305176	0.0297852	-0.119324	
0.097	0.00732422	0.00335693	0.0286865	-0.119629	
0.098	0.00488281	0.00305176	0.0275269	-0.119629	
0.099	-0.000915527	0.00366211	0.0263672	-0.119934	
0.1	-0.00579834	0.00366211	0.0252075	-0.119934	
0.101	-0.00915527	0.00305176	0.0240479	-0.120239	
0.102	-0.0128174	0.00183105	0.0228882	-0.120544	
0.103	-0.017395	0.00213623	0.0217285	-0.120544	
0.104	-0.0112915	0.00488281	0.0206299	-0.12085	
0.105	-0.00915527	0.00244141	0.0194702	-0.12085	
0.106	-0.00549316	0.00366211	0.0183105	-0.121155	
0.107	-0.00457764	0.00762939	0.0171509	-0.121155	
0.108	-0.00610352	0.00396729	0.0159302	-0.12146	
0.109	-0.0128174	0.00183105	0.0147095	-0.12146	
0.11	-0.00946045	-0.000915527	0.0134888	-0.121765	
0.111	-0.0143433	-0.00152588	0.0122681	-0.121765	
0.112	-0.0192261	-0.00152588	0.0110474	-0.12207	
0.113	-0.0189209	-0.00427246	0.00982666	-0.122375	
0.114	-0.020752	-0.00488281	0.00866699	-0.122375	
0.115	-0.0189209	-0.00366211	0.00750732	-0.122681	
0.116	-0.010376	-0.0012207	0.00628662	-0.122681	
0.117	-0.00793457	0.000915527	0.00506592	-0.122986	
0.118	-0.00366211	-0.000915527	0.00384521	-0.122986	
0.119	0.00488281	-0.0012207	0.00256348	-0.123291	
0.12	0.0109863	0	0.00128174	-0.123596	
0.121	0.00579834	-0.00152588	6.10352E-05	-0.123596	
0.122	0.00335693	-0.000305176	-0.00115967	-0.123901	
0.123	0.0088501	0.000610352	-0.00238037	-0.123901	
0.124	0.015564	-0.000610352	-0.00354004	-0.124207	
0.125	0.0119019	-0.000610352	-0.00476074	-0.124512	
0.126	0.00183105	-0.000610352	-0.00592041	-0.124512	
0.127	0.0012207	0.000915527	-0.00708008	-0.124817	
0.128	0.00274658	0.00213623	-0.00830078	-0.125122	
0.129	0.00183105	0.00152588	-0.00946045	-0.125427	
0.13	-0.000305176	-0.00366211	-0.0106812	-0.125732	
0.131	0.00549316	-0.00183105	-0.0118408	-0.126038	
0.132	0.00946045	-0.00183105	-0.0130005	-0.126343	
0.133	0.0131226	-0.00305176	-0.0141602	-0.126343	
0.134	0.00457764	-0.00335693	-0.0152588	-0.126648	
0.135	-0.00671387	-0.00274658	-0.0163574	-0.127258	
0.136	-0.00549316	-0.00183105	-0.0174561	-0.127563	
0.137	-0.0125122	0.00213623	-0.0185547	-0.127869	
0.138	-0.0119019	0.00183105	-0.0196533	-0.128174	
0.139	-0.00488281	-0.00427246	-0.020752	-0.128479	
0.14	0.00701904	-0.00427246	-0.0218506	-0.128784	
0.141	0.0119019	-0.000915527	-0.0229492	-0.129089	
0.142	0.0167847	-0.00488281	-0.0239868	-0.129395	
0.143	0.0137329	-0.000915527	-0.0249634	-0.1297	
0.144	0.00427246	-0.00396729	-0.026001	-0.130005	
0.145	-0.00152588	-0.000915527	-0.0269775	-0.13031	
0.146	-0.00762939	-0.00244141	-0.0279541	-0.130615	
0.147	-0.00610352	-0.00244141	-0.0289307	-0.13092	
0.148	-0.00274658	-0.00244141	-0.0299683	-0.131226	
0.149	-0.00793457	-0.00396729	-0.0309448	-0.131531	
0.15	-0.00762939	-0.00213623	-0.0319214	-0.131836	
0.151	0.000305176	-0.00213623	-0.0328979	-0.132141	
0.152	0.010376	-0.00152588	-0.0338135	-0.132446	
0.153	0.0100708	-0.00518799	-0.034668	-0.132751	
0.154	0.00732422	-0.00518799	-0.0355225	-0.133057	
0.155	0.0115967	-0.00213623	-0.0363159	-0.133362	
0.156	0.0119019	-0.000915527	-0.0371704	-0.133667	
0.157	0.00305176	-0.0012207	-0.0380249	-0.133972	
0.158	-0.017395	-0.00274658	-0.0388794	-0.134277	
0.159	-0.0167847	-0.00335693	-0.0396729	-0.134583	
0.16	-0.0119019	-0.00396729	-0.0405273	-0.134888	
0.161	-0.00823975	-0.00488281	-0.0413208	-0.135193	
0.162	-0.00579834	0.0012207	-0.0421143	-0.135498	
0.163	-0.00976562	-0.000305176	-0.0429077	-0.135803	
0.164	0.00335693	0.0012207	-0.0436401	-0.136108	
0.165	0.0161743	-0.00152588	-0.0444336	-0.136414	
0.166	0.0158691	-0.00274658	-0.045166	-0.136719	
0.167	0.00793457	-0.00152588	-0.0459595	-0.136719	
0.168	-0.00274658	-0.00427246	-0.046814	-0.137024	
0.169	-0.00427246	-0.00274658	-0.0476074	-0.137329	
0.17	0	-0.00244141	-0.0484619	-0.137634	
0.171	-0.000610352	-0.00488281	-0.0493164	-0.137939	
0.172	-0.00305176	-0.00396729	-0.0501709	-0.138245	
0.173	-0.00701904	0	-0.0510254	-0.138245	
0.174	-0.0134277	0.00335693	-0.0518188	-0.13855	
0.175	-0.00518799	0.000305176	-0.0526733	-0.138855	
0.176	-0.00183105	-0.00305176	-0.0535278	-0.138855	
0.177	-0.00213623	-0.00213623	-0.0544434	-0.13916	
0.178	-0.00427246	-0.0012207	-0.0552979	-0.139465	
0.179	0.00213623	-0.0012207	-0.0562134	-0.139465	
0.18	0.00457764	-0.00305176	-0.0571899	-0.139771	
0.181	0.00427246	-0.00213623	-0.0581055	-0.139771	
0.182	0.00183105	-0.00396729	-0.05896	-0.140076	
0.183	0.00457764	0.000610352	-0.0598145	-0.140076	
0.184	0.00671387	0.000610352	-0.0606689	-0.140381	
0.185	-0.00274658	0.0012207	-0.0614624	-0.140686	
0.186	-0.0131226	0.00152588	-0.0623169	-0.140686	
0.187	-0.012207	0.00335693	-0.0631104	-0.140991	
0.188	-0.0100708	0.00274658	-0.0639038	-0.141296	
0.189	-0.000915527	-0.0012207	-0.0647583	-0.141296	
0.19	0.00213623	-0.00305176	-0.0655518	-0.141602	
0.191	0.000915527	-0.00427246	-0.0662842	-0.141907	
0.192	0.00152588	-0.00366211	-0.0669556	-0.142212	
0.193	-0.0012207	-0.00152588	-0.067627	-0.142517	
0.194	0.00152588	-0.0012207	-0.0682983	-0.142822	
0.195	-0.000305176	-0.000305176	-0.0689087	-0.143127	
0.196	-0.000610352	-0.00152588	-0.069519	-0.143433	
0.197	-0.000305176	-0.000915527	-0.0701294	-0.144043	
0.198	0.00305176	-0.00366211	-0.0707397	-0.144348	
0.199	0.00183105	-0.00274658	-0.0713501	-0.144653	
0.2	0.00427246	-0.00457764	-0.0719604	-0.145264	
0.201	0.00762939	-0.00457764	-0.0725098	-0.145569	
0.202	0.00732422	-0.00427246	-0.0730591	-0.145874	
0.203	0.00396729	0.000305176	-0.0736084	-0.146484	
0.204	0.00457764	0.00183105	-0.0740967	-0.14679	
0.205	-0.00427246	0.00366211	-0.0745239	-0.1474	
0.206	-0.0100708	0.00579834	-0.0750122	-0.147705	
0.207	-0.0131226	0.00427246	-0.0755615	-0.14801	
0.208	-0.0167847	0.00823975	-0.0761108	-0.148621	
0.209	-0.0234985	0.00854492	-0.0766602	-0.148926	
0.21	-0.0286865	0.00518799	-0.0772095	-0.149231	
0.211	-0.0195312	0.00366211	-0.0777588	-0.149536	
0.212	-0.0119019	0.00366211	-0.0783081	-0.150146	
0.213	-0.00457764	0.00305176	-0.0787964	-0.150452	
0.214	-0.00457764	-0.00213623	-0.0793457	-0.150757	
0.215	-0.000610352	-0.00335693	-0.079895	-0.151062	
0.216	0.00335693	-0.00640869	-0.0804443	-0.151367	
0.217	0.0149536	-0.00518799	-0.0810547	-0.151672	
0.218	0.0186157	-0.00640869	-0.081665	-0.151978	
0.219	0.0238037	-0.00610352	-0.0823364	-0.152283	
0.22	0.0296021	-0.00457764	-0.0830078	-0.152893	
0.221	0.0228882	-0.00701904	-0.0836182	-0.153198	
0.222	0.0238037	-0.00823975	-0.0842896	-0.153503	
0.223	0.0164795	-0.00366211	-0.0848999	-0.153809	
0.224	0	0.0012207	-0.0855103	-0.154114	
0.225	-0.0128174	0.000305176	-0.0861206	-0.154419	
0.226	-0.00976562	0.00183105	-0.086731	-0.154724	
0.227	-0.00274658	0.00335693	-0.0873413	-0.155029	
0.228	0	-0.000610352	-0.0879517	-0.15564	
0.229	0.00213623	-0.00244141	-0.088562	-0.155945	
0.23	0.000915527	-0.00335693	-0.0891724	-0.15625	
0.231	-0.000915527	-0.00457764	-0.0897827	-0.156555	
0.232	-0.00213623	-0.00488281	-0.0903931	-0.15686	
0.233	-0.00152588	-0.00640869	-0.0908813	-0.157166	
0.234	0.000305176	-0.00427246	-0.0914307	-0.157471	
0.235	-0.00244141	-0.00366211	-0.0919189	-0.157776	
0.236	-0.00488281	-0.00396729	-0.0924072	-0.158081	
0.237	-0.00701904	-0.00427246	-0.0929565	-0.158386	
0.238	-0.0128174	-0.00305176	-0.0934448	-0.158691	
0.239	-0.0219727	-0.00732422	-0.0939941	-0.158997	
0.24	-0.0189209	-0.00518799	-0.0944824	-0.159302	
0.241	-0.0137329	-0.000915527	-0.0950317	-0.159607	
0.242	-0.00640869	-0.00396729	-0.095459	-0.159607	
0.243	-0.000305176	-0.00427246	-0.0959473	-0.159912	
0.244	0.00488281	-0.0012207	-0.0964355	-0.160217	
0.245	0.010376	-0.000305176	-0.0968628	-0.160217	
0.246	0.00732422	0.00213623	-0.0973511	-0.160522	
0.247	-0.00152588	0.000610352	-0.0978394	-0.160522	
0.248	-0.0112915	0.0012207	-0.0983276	-0.160828	
0.249	-0.0112915	0.000915527	-0.098877	-0.160828	
0.25	-0.00305176	0.000305176	-0.0993652	-0.161133	
0.251	-0.00213623	-0.00183105	-0.0999146	-0.161133	
0.252	-0.00701904	-0.00305176	-0.100403	-0.161133	
0.253	-0.00762939	-0.000610352	-0.100891	-0.161438	
0.254	-0.0100708	-0.00213623	-0.101379	-0.161438	
0.255	-0.00244141	-0.00579834	-0.101807	-0.161438	
0.256	0.0012207	-0.00518799	-0.102295	-0.161438	
0.257	0.00305176	-0.00640869	-0.102783	-0.161743	
0.258	-0.000915527	-0.00579834	-0.103271	-0.161743	
0.259	-0.00152588	-0.00610352	-0.10376	-0.161743	
0.26	0.00640869	-0.00488281	-0.104248	-0.161743	
0.261	0.00823975	0	-0.104736	-0.161743	
0.262	0.00915527	-0.00183105	-0.105164	-0.161743	
0.263	-0.0012207	-0.00305176	-0.105591	-0.161743	
0.264	-0.00549316	0.00152588	-0.105957	-0.161743	
0.265	-0.0109863	0.000305176	-0.106384	-0.161743	
0.266	-0.0146484	-0.00244141	-0.106812	-0.162048	
0.267	-0.0119019	-0.00183105	-0.107239	-0.162048	
0.268	-0.0112915	-0.00457764	-0.107666	-0.162048	
0.269	-0.0125122	0.000915527	-0.108215	-0.162048	
0.27	-0.017395	0.00183105	-0.108704	-0.162048	
0.271	-0.015564	0	-0.109192	-0.162048	
0.272	-0.0210571	0.00152588	-0.10968	-0.162048	
0.273	-0.0204468	0.00518799	-0.110168	-0.162048	
0.274	-0.0143433	0.00488281	-0.110596	-0.162354	
0.275	-0.00762939	0.00152588	-0.111084	-0.162354	
0.276	-0.000915527	0.00244141	-0.111572	-0.162354	
0.277	0.00732422	0.00305176	-0.112061	-0.162659	
0.278	0.00610352	0.00549316	-0.112549	-0.162659	
0.279	-0.000915527	0.00488281	-0.113037	-0.162659	
0.28	-0.00152588	0	-0.113586	-0.162964	
0.281	-0.00335693	0.00183105	-0.114075	-0.162964	
0.282	-0.00274658	0.00213623	-0.114563	-0.162964	
0.283	0.00183105	-0.000305176	-0.11499	-0.163269	
