hak_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60945	60945	60945	60945	
0	0.0125122	-0.102539	-0.392883	-0.0299072	
0.001	0.00366211	-0.108948	-0.393005	-0.0299072	
0.002	-0.00213623	-0.104065	-0.393127	-0.0299072	
0.003	-0.00915527	-0.093689	-0.39325	-0.0299072	
0.004	-0.0164795	-0.0714111	-0.393372	-0.0299072	
0.005	-0.0189209	-0.0405884	-0.393494	-0.0299072	
0.006	-0.0152588	0.000610352	-0.393616	-0.0299072	
0.007	-0.0177002	0.0320435	-0.393738	-0.0296021	
0.008	-0.0231934	0.0665283	-0.393921	-0.0296021	
0.009	-0.0308228	0.093689	-0.394043	-0.0296021	
0.01	-0.0286865	0.110474	-0.394165	-0.0296021	
0.011	-0.0189209	0.118103	-0.394287	-0.0296021	
0.012	-0.0088501	0.112305	-0.39447	-0.0296021	
0.013	-0.00518799	0.102234	-0.394592	-0.0296021	
0.014	0	0.0827026	-0.394714	-0.0296021	
0.015	0.00579834	0.0497437	-0.394897	-0.0296021	
0.016	0.00854492	0.00762939	-0.395081	-0.0296021	
0.017	0.0149536	-0.0228882	-0.395203	-0.0296021	
0.018	0.010376	-0.0570679	-0.395325	-0.0296021	
0.019	0.0109863	-0.0827026	-0.395447	-0.0296021	
0.02	0.012207	-0.100708	-0.395569	-0.0296021	
0.021	0.0112915	-0.107422	-0.395691	-0.0292969	
0.022	0.00793457	-0.102234	-0.395752	-0.0292969	
0.023	0.00946045	-0.0894165	-0.395874	-0.0292969	
0.024	0.0231934	-0.0708008	-0.395935	-0.0292969	
0.025	0.0186157	-0.0415039	-0.396057	-0.0292969	
0.026	0.0128174	-0.0012207	-0.396118	-0.0292969	
0.027	0.00671387	0.0314331	-0.396118	-0.0292969	
0.028	0.00183105	0.0662231	-0.396118	-0.0292969	
0.029	-0.0137329	0.0906372	-0.396118	-0.0292969	
0.03	-0.0195312	0.106506	-0.396057	-0.0292969	
0.031	-0.017395	0.113525	-0.395996	-0.0292969	
0.032	-0.0241089	0.111084	-0.395935	-0.0292969	
0.033	-0.0265503	0.098877	-0.395813	-0.0292969	
0.034	-0.0283813	0.0793457	-0.395752	-0.0292969	
0.035	-0.0292969	0.0448608	-0.395569	-0.0292969	
0.036	-0.0180054	0.00457764	-0.395447	-0.0292969	
0.037	-0.0112915	-0.027771	-0.395264	-0.0292969	
0.038	-0.0128174	-0.0637817	-0.39502	-0.0292969	
0.039	-0.0012207	-0.0869751	-0.394714	-0.0292969	
0.04	0.00366211	-0.102844	-0.394409	-0.0292969	
0.041	-0.000915527	-0.110779	-0.394043	-0.0292969	
0.042	-0.00396729	-0.105896	-0.393738	-0.0292969	
0.043	0.00762939	-0.09552	-0.393311	-0.0292969	
0.044	0.0158691	-0.0765991	-0.392944	-0.0292969	
0.045	0.0198364	-0.0436401	-0.392517	-0.0292969	
0.046	0.0253296	-0.00396729	-0.392151	-0.0292969	
0.047	0.0326538	0.0274658	-0.391724	-0.0292969	
0.048	0.0231934	0.0610352	-0.391235	-0.0292969	
0.049	0.0125122	0.0863647	-0.390808	-0.0289917	
0.05	0.00671387	0.102234	-0.39032	-0.0289917	
0.051	-0.00640869	0.109253	-0.389832	-0.0289917	
0.052	-0.0201416	0.10437	-0.389343	-0.0289917	
0.053	-0.0210571	0.0939941	-0.388855	-0.0289917	
0.054	-0.0189209	0.0759888	-0.388428	-0.0289917	
0.055	-0.0146484	0.0454712	-0.388	-0.0289917	
0.056	-0.00427246	0.00762939	-0.387634	-0.0289917	
0.057	0.00366211	-0.0262451	-0.387207	-0.0289917	
0.058	0.00335693	-0.0628662	-0.386841	-0.0289917	
0.059	0.00671387	-0.0888062	-0.386475	-0.0289917	
0.06	0.00396729	-0.106506	-0.386108	-0.0289917	
0.061	0.00183105	-0.114746	-0.385742	-0.0289917	
0.062	-0.00488281	-0.106506	-0.385376	-0.0289917	
0.063	-0.00427246	-0.093689	-0.385071	-0.0289917	
0.064	0.0012207	-0.0747681	-0.384827	-0.0289917	
0.065	0.00213623	-0.0424194	-0.384521	-0.0289917	
0.066	0.00244141	-0.00366211	-0.384277	-0.0289917	
0.067	0.00579834	0.0292969	-0.384033	-0.0289917	
0.068	0.0143433	0.0668335	-0.383789	-0.0289917	
0.069	0.015564	0.0924683	-0.383545	-0.0289917	
0.07	0.0216675	0.108337	-0.383301	-0.0286865	
0.071	0.0204468	0.116272	-0.382996	-0.0286865	
0.072	0.0167847	0.109863	-0.382751	-0.0286865	
0.073	0.00274658	0.0973511	-0.382568	-0.0286865	
0.074	-0.0161743	0.0772095	-0.382324	-0.0286865	
0.075	-0.0268555	0.0411987	-0.382141	-0.0286865	
0.076	-0.0180054	0.000305176	-0.381958	-0.0286865	
0.077	-0.0137329	-0.0323486	-0.381775	-0.0286865	
0.078	-0.0164795	-0.0668335	-0.381592	-0.0286865	
0.079	-0.012207	-0.0909424	-0.381409	-0.0286865	
0.08	-0.00976562	-0.106201	-0.381226	-0.0286865	
0.081	-0.00549316	-0.114136	-0.381042	-0.0286865	
0.082	-0.00335693	-0.105591	-0.38092	-0.0286865	
0.083	-0.00213623	-0.0949097	-0.380798	-0.0286865	
0.084	0.00915527	-0.0723267	-0.380737	-0.0286865	
0.085	0.00793457	-0.0375366	-0.380676	-0.0286865	
0.086	-0.00152588	0.00152588	-0.380615	-0.0286865	
0.087	-0.017395	0.0311279	-0.380615	-0.0286865	
0.088	-0.0280762	0.0656128	-0.380554	-0.0286865	
0.089	-0.0308228	0.0918579	-0.380493	-0.0286865	
0.09	-0.0228882	0.107117	-0.380493	-0.0286865	
0.091	-0.0170898	0.113525	-0.380432	-0.0286865	
0.092	-0.0143433	0.107117	-0.380371	-0.0286865	
0.093	-0.0125122	0.0921631	-0.38031	-0.0286865	
0.094	-0.0088501	0.0747681	-0.380249	-0.0286865	
0.095	-0.00640869	0.0418091	-0.380249	-0.0283813	
0.096	0.010376	0.00152588	-0.380188	-0.0283813	
0.097	0.0271606	-0.0323486	-0.380127	-0.0283813	
0.098	0.0363159	-0.0665283	-0.380066	-0.0283813	
0.099	0.0411987	-0.0897217	-0.379944	-0.0283813	
0.1	0.0366211	-0.108337	-0.379822	-0.0283813	
0.101	0.0344849	-0.112915	-0.3797	-0.0283813	
0.102	0.0442505	-0.108032	-0.379578	-0.0283813	
0.103	0.0521851	-0.0964355	-0.379517	-0.0283813	
0.104	0.0427246	-0.0775146	-0.379395	-0.0280762	
0.105	0.0326538	-0.0424194	-0.379272	-0.0280762	
0.106	0.017395	-0.00213623	-0.379211	-0.0280762	
0.107	0.00335693	0.0296021	-0.37915	-0.0280762	
0.108	-0.00244141	0.0662231	-0.379028	-0.0280762	
0.109	-0.0146484	0.0909424	-0.378906	-0.0280762	
0.11	-0.0299072	0.105896	-0.378845	-0.0280762	
0.111	-0.0445557	0.111389	-0.378723	-0.0280762	
0.112	-0.050354	0.10437	-0.378601	-0.0280762	
0.113	-0.0534058	0.0909424	-0.37854	-0.0280762	
0.114	-0.0405884	0.0714111	-0.378479	-0.0280762	
0.115	-0.0314331	0.0372314	-0.378418	-0.0280762	
0.116	-0.0317383	-0.00183105	-0.378357	-0.0280762	
0.117	-0.027771	-0.0350952	-0.378296	-0.0280762	
0.118	-0.0222778	-0.0692749	-0.378174	-0.0280762	
0.119	-0.0134277	-0.0939941	-0.378113	-0.0280762	
0.12	-0.00518799	-0.110779	-0.377991	-0.0280762	
0.121	-0.00335693	-0.116577	-0.377808	-0.0280762	
0.122	-0.00549316	-0.109558	-0.377625	-0.0280762	
0.123	-0.00427246	-0.0958252	-0.377502	-0.0280762	
0.124	-0.00457764	-0.0769043	-0.377258	-0.0280762	
0.125	-0.000915527	-0.0427246	-0.377075	-0.0280762	
0.126	0.00793457	-0.00335693	-0.376831	-0.0280762	
0.127	-0.000915527	0.0286865	-0.376587	-0.0280762	
0.128	-0.0088501	0.062561	-0.376343	-0.0280762	
0.129	-0.00915527	0.0866699	-0.376038	-0.0280762	
0.13	0.00152588	0.103455	-0.375732	-0.0280762	
0.131	0.0119019	0.108643	-0.375427	-0.0280762	
0.132	0.0234985	0.101318	-0.375122	-0.0280762	
0.133	0.0283813	0.0888062	-0.374817	-0.0280762	
0.134	0.0308228	0.0704956	-0.374573	-0.0280762	
0.135	0.0299072	0.0344849	-0.374329	-0.0280762	
0.136	0.0253296	-0.00183105	-0.374084	-0.0280762	
0.137	0.0198364	-0.0341797	-0.373901	-0.0280762	
0.138	0.0131226	-0.067749	-0.373657	-0.0280762	
0.139	0.000915527	-0.0912476	-0.373474	-0.0280762	
0.14	-0.00915527	-0.108032	-0.373291	-0.0280762	
0.141	-0.0109863	-0.113525	-0.373108	-0.0280762	
0.142	-0.012207	-0.106506	-0.372986	-0.0280762	
0.143	-0.012207	-0.0921631	-0.372925	-0.0280762	
0.144	-0.0201416	-0.0714111	-0.372925	-0.0280762	
0.145	-0.0265503	-0.0363159	-0.372925	-0.0280762	
0.146	-0.0177002	0.00183105	-0.372986	-0.0280762	
0.147	-0.0265503	0.0344849	-0.373047	-0.0280762	
0.148	-0.0292969	0.0665283	-0.373169	-0.0280762	
0.149	-0.0158691	0.0918579	-0.37323	-0.0280762	
0.15	-0.000915527	0.108032	-0.373413	-0.0280762	
0.151	0.00793457	0.112305	-0.373535	-0.0280762	
0.152	0.0115967	0.102844	-0.373718	-0.0280762	
0.153	0.00946045	0.0888062	-0.373962	-0.0280762	
0.154	0.017395	0.0689697	-0.374146	-0.0280762	
0.155	0.0289917	0.0372314	-0.37439	-0.0280762	
0.156	0.0292969	0	-0.374634	-0.027771	
0.157	0.0219727	-0.0323486	-0.374878	-0.027771	
0.158	0.0253296	-0.0683594	-0.375061	-0.027771	
0.159	0.0445557	-0.0924683	-0.375305	-0.027771	
0.16	0.0497437	-0.108032	-0.375488	-0.027771	
0.161	0.0506592	-0.112915	-0.375671	-0.027771	
0.162	0.0421143	-0.108032	-0.375854	-0.027771	
0.163	0.0335693	-0.0939941	-0.376038	-0.027771	
0.164	0.0308228	-0.0741577	-0.376282	-0.027771	
0.165	0.0204468	-0.0396729	-0.376465	-0.027771	
0.166	0.00488281	-0.000610352	-0.376587	-0.027771	
0.167	-0.012207	0.0338745	-0.37677	-0.027771	
0.168	-0.0140381	0.0695801	-0.376892	-0.027771	
0.169	-0.0137329	0.0964355	-0.376953	-0.027771	
0.17	-0.00579834	0.112915	-0.377014	-0.027771	
0.171	-0.0140381	0.118408	-0.377014	-0.027771	
0.172	-0.0265503	0.112915	-0.377014	-0.027771	
0.173	-0.0308228	0.0982666	-0.377075	-0.027771	
0.174	-0.0354004	0.0756836	-0.377075	-0.027771	
0.175	-0.0314331	0.0393677	-0.377075	-0.027771	
0.176	-0.0299072	0.000610352	-0.377075	-0.027771	
0.177	-0.027771	-0.0320435	-0.377075	-0.027771	
