klasik_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60435	60435	60435	60435	
0	0.00946045	-0.0292969	0.0786743	0.0930786	
0.001	0.00701904	-0.00274658	0.0770874	0.0930786	
0.002	0.0109863	0.0292969	0.0754395	0.0930786	
0.003	0.00305176	0.0531006	0.0738525	0.0930786	
0.004	-0.0100708	0.071106	0.0723267	0.0930786	
0.005	-0.0158691	0.0830078	0.0707397	0.0930786	
0.006	-0.0192261	0.0875854	0.0691528	0.0930786	
0.007	-0.0119019	0.0839233	0.067627	0.0933838	
0.008	-0.00671387	0.0756836	0.0661011	0.0933838	
0.009	-0.0125122	0.0540161	0.0645752	0.0933838	
0.01	-0.00854492	0.0305176	0.0631104	0.0933838	
0.011	0	0.00457764	0.0617065	0.0933838	
0.012	-0.00152588	-0.0274658	0.0603027	0.0933838	
0.013	-0.000305176	-0.0494385	0.05896	0.093689	
0.014	0.00946045	-0.0680542	0.0576172	0.093689	
0.015	0.00946045	-0.0808716	0.0563354	0.093689	
0.016	0.00305176	-0.0875854	0.0550537	0.093689	
0.017	0.00549316	-0.0854492	0.053833	0.093689	
0.018	0.00274658	-0.0775146	0.0526123	0.093689	
0.019	-0.00640869	-0.057373	0.0513916	0.093689	
0.02	-0.0180054	-0.0323486	0.0501709	0.093689	
0.021	-0.0204468	-0.00640869	0.0489502	0.093689	
0.022	-0.0131226	0.022583	0.0477905	0.093689	
0.023	-0.00366211	0.0463867	0.0466309	0.093689	
0.024	-0.000305176	0.0640869	0.0454712	0.0939941	
0.025	0.000610352	0.0726318	0.0443115	0.0939941	
0.026	-0.0131226	0.0796509	0.0430908	0.0939941	
0.027	-0.0167847	0.0778198	0.0419312	0.0939941	
0.028	-0.0204468	0.0701904	0.0407104	0.0939941	
0.029	-0.0106812	0.0457764	0.0394897	0.0939941	
0.03	-0.000305176	0.0222778	0.038269	0.0939941	
0.031	0.00549316	-0.00549316	0.0370483	0.0939941	
0.032	0.0128174	-0.0338745	0.0358276	0.0939941	
0.033	0.0247192	-0.0570679	0.0346069	0.0942993	
0.034	0.0244141	-0.072937	0.0333862	0.0942993	
0.035	0.0158691	-0.0866699	0.0321655	0.0942993	
0.036	0.017395	-0.0924683	0.0309448	0.0942993	
0.037	0.0241089	-0.0912476	0.0296631	0.0942993	
0.038	0.0164795	-0.0811768	0.0283813	0.0942993	
0.039	0.0131226	-0.0567627	0.0270996	0.0946045	
0.04	0.0140381	-0.0314331	0.0258179	0.0946045	
0.041	0.0140381	-0.00396729	0.0245361	0.0946045	
0.042	0.0167847	0.027771	0.0232544	0.0946045	
0.043	0.012207	0.0506592	0.0220337	0.0946045	
0.044	0.000915527	0.0698853	0.020813	0.0949097	
