live_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	64035	64035	64035	64035	
0	-0.00701904	-0.0802612	0.259277	0.012207	
0.001	-0.00457764	-0.0878906	0.260437	0.012207	
0.002	-0.00152588	-0.0921631	0.261536	0.012207	
0.003	0.00427246	-0.085144	0.262695	0.0119019	
0.004	0.00640869	-0.071106	0.263794	0.0119019	
0.005	0.00671387	-0.0448608	0.264893	0.0115967	
0.006	0.00732422	-0.0201416	0.26593	0.0115967	
0.007	0.000915527	0.00854492	0.267029	0.0115967	
0.008	-0.00366211	0.0390625	0.268127	0.0112915	
0.009	-0.00274658	0.0592041	0.269226	0.0112915	
0.01	0.00274658	0.0769043	0.270264	0.0112915	
0.011	0.000610352	0.0881958	0.271362	0.0109863	
0.012	-0.00457764	0.0909424	0.2724	0.0109863	
0.013	0.00152588	0.0854492	0.273499	0.0109863	
0.014	-0.0012207	0.0698853	0.274536	0.0109863	
0.015	0.00305176	0.0439453	0.275635	0.0106812	
0.016	0.0088501	0.0189209	0.276672	0.0106812	
0.017	0.0112915	-0.0106812	0.277771	0.0106812	
0.018	0.00518799	-0.0427246	0.27887	0.0106812	
0.019	0.00610352	-0.0643921	0.279968	0.010376	
0.02	0.00427246	-0.0811768	0.281067	0.010376	
0.021	0.00640869	-0.0918579	0.282166	0.010376	
0.022	0.00915527	-0.0967407	0.283203	0.010376	
0.023	0.00427246	-0.0930786	0.284241	0.0100708	
0.024	0.00396729	-0.0799561	0.285278	0.0100708	
0.025	0.00671387	-0.0491333	0.286316	0.0100708	
0.026	0.00976562	-0.0259399	0.287354	0.0100708	
0.027	0.00823975	0.00213623	0.288391	0.00976562	
0.028	0.00701904	0.03479	0.289368	0.00976562	
0.029	0.00457764	0.057373	0.290405	0.00976562	
0.03	-0.0012207	0.0741577	0.291443	0.00976562	
0.031	-0.0012207	0.0830078	0.292419	0.00976562	
0.032	-0.0012207	0.0863647	0.293396	0.00946045	
0.033	-0.000305176	0.0839233	0.294373	0.00946045	
0.034	-0.00488281	0.0726318	0.295349	0.00946045	
0.035	-0.00793457	0.045166	0.296265	0.00946045	
0.036	-0.00579834	0.0189209	0.297119	0.00915527	
0.037	-0.00335693	-0.00732422	0.298035	0.00915527	
0.038	-0.00457764	-0.0384521	0.29895	0.00915527	
0.039	-0.00396729	-0.0601196	0.299866	0.0088501	
0.04	-0.00305176	-0.0793457	0.300781	0.0088501	
0.041	-0.000610352	-0.0894165	0.301697	0.0088501	
0.042	0.00579834	-0.0927734	0.302551	0.0088501	
0.043	0.00518799	-0.0888062	0.303406	0.00854492	
0.044	-0.00396729	-0.0753784	0.304321	0.00854492	
0.045	-0.00732422	-0.0482178	0.305176	0.00854492	
0.046	-0.00457764	-0.0256348	0.305969	0.00823975	
0.047	-0.00610352	0.00335693	0.306824	0.00823975	
0.048	-0.00274658	0.03479	0.307678	0.00793457	
0.049	0.00274658	0.0576782	0.308472	0.00793457	
0.05	-0.00152588	0.0747681	0.309326	0.00793457	
0.051	-0.00488281	0.0839233	0.310059	0.00762939	
0.052	-0.00152588	0.0888062	0.310791	0.00762939	
