nothing_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	61960	61960	61960	61960	
0	-0.00518799	0.055542	-0.0184937	-0.0524902	
0.001	-0.00854492	0.0314331	-0.0227661	-0.0524902	
0.002	-0.00915527	0.00579834	-0.0270386	-0.0524902	
0.003	-0.0109863	-0.0244141	-0.03125	-0.0524902	
0.004	-0.00915527	-0.0479126	-0.0354614	-0.0524902	
0.005	-0.00640869	-0.0616455	-0.0396118	-0.0524902	
0.006	-0.00610352	-0.0741577	-0.0437622	-0.0524902	
0.007	-0.00579834	-0.0802612	-0.0478516	-0.0524902	
0.008	-0.00732422	-0.0802612	-0.0519409	-0.0524902	
0.009	-0.00549316	-0.0698853	-0.0560303	-0.0524902	
0.01	-0.00244141	-0.0463867	-0.0601196	-0.0524902	
0.011	0.0012207	-0.0238037	-0.0641479	-0.0524902	
0.012	0.00152588	0.00183105	-0.0681763	-0.0524902	
0.013	0.00183105	0.0326538	-0.0721436	-0.0524902	
0.014	0.00305176	0.057373	-0.0761108	-0.0524902	
0.015	0.00671387	0.0735474	-0.0800781	-0.0521851	
0.016	0.00610352	0.0857544	-0.0840454	-0.0521851	
0.017	0.000915527	0.0894165	-0.0879517	-0.0521851	
0.018	-0.00244141	0.0860596	-0.0918579	-0.0521851	
0.019	-0.00488281	0.0744629	-0.0957642	-0.0521851	
0.02	-0.010376	0.050354	-0.0997314	-0.0521851	
0.021	-0.00823975	0.0259399	-0.103638	-0.0521851	
0.022	0.000305176	0.000305176	-0.107483	-0.0521851	
0.023	0.00335693	-0.0299072	-0.111389	-0.0521851	
0.024	0.00305176	-0.0552368	-0.115234	-0.0521851	
0.025	0.000915527	-0.072937	-0.11908	-0.0521851	
0.026	0	-0.0827026	-0.122864	-0.0521851	
0.027	-0.00396729	-0.0863647	-0.126709	-0.0521851	
0.028	-0.00488281	-0.0860596	-0.130493	-0.0521851	
0.029	-0.00427246	-0.0762939	-0.134338	-0.0521851	
0.03	-0.00366211	-0.0524902	-0.138123	-0.0521851	
0.031	-0.000915527	-0.0302124	-0.141907	-0.0521851	
0.032	0.0012207	-0.00701904	-0.14563	-0.0521851	
0.033	0.00335693	0.0216675	-0.149353	-0.0521851	
0.034	0.00488281	0.0463867	-0.153076	-0.0518799	
0.035	0.00579834	0.0668335	-0.156799	-0.0518799	
0.036	0.00396729	0.0787354	-0.1604	-0.0518799	
0.037	0.00671387	0.0842285	-0.164062	-0.0518799	
0.038	0.00335693	0.0823975	-0.167664	-0.0518799	
0.039	0.00152588	0.0714111	-0.171265	-0.0518799	
0.04	0.00152588	0.0485229	-0.174805	-0.0518799	
0.041	0.000915527	0.0250244	-0.178345	-0.0518799	
0.042	0.00213623	0	-0.181885	-0.0515747	
0.043	0.00518799	-0.0305176	-0.185303	-0.0515747	
0.044	0.00366211	-0.0534058	-0.188782	-0.0515747	
0.045	0.00152588	-0.0695801	-0.192139	-0.0515747	
0.046	0	-0.0808716	-0.195496	-0.0515747	
0.047	-0.00213623	-0.0863647	-0.198853	-0.0515747	
0.048	-0.000305176	-0.0848389	-0.202209	-0.0515747	
0.049	0.000305176	-0.0744629	-0.205505	-0.0515747	
0.05	0.00213623	-0.0497437	-0.208801	-0.0515747	
0.051	-0.000915527	-0.0256348	-0.212036	-0.0515747	
0.052	-0.00152588	0.000915527	-0.215271	-0.0515747	
0.053	0.00152588	0.0323486	-0.218506	-0.0515747	
0.054	0	0.0543213	-0.22168	-0.0515747	
0.055	0	0.071106	-0.224854	-0.0515747	
0.056	-0.00335693	0.0839233	-0.227966	-0.0515747	
0.057	-0.00305176	0.0866699	-0.23114	-0.0515747	
0.058	-0.00579834	0.0863647	-0.234253	-0.0515747	
0.059	-0.00915527	0.0762939	-0.237366	-0.0515747	
0.06	-0.00610352	0.0527954	-0.240479	-0.0512695	
0.061	-0.00518799	0.0292969	-0.24353	-0.0512695	
0.062	-0.00274658	0.000305176	-0.246521	-0.0512695	
0.063	-0.00274658	-0.0296021	-0.249512	-0.0512695	
0.064	-0.00366211	-0.0515747	-0.252502	-0.0512695	
0.065	-0.00335693	-0.0701904	-0.255432	-0.0512695	
0.066	-0.00335693	-0.0817871	-0.258301	-0.0512695	
0.067	-0.00579834	-0.0836182	-0.261108	-0.0512695	
0.068	-0.00671387	-0.0778198	-0.263977	-0.0512695	
0.069	-0.00579834	-0.0643921	-0.266724	-0.0509644	
0.07	-0.00579834	-0.0402832	-0.269531	-0.0509644	
0.071	-0.00732422	-0.0152588	-0.272217	-0.0509644	
0.072	-0.00823975	0.00793457	-0.274902	-0.0509644	
0.073	-0.00640869	0.0344849	-0.277588	-0.0509644	
0.074	-0.00732422	0.0524902	-0.280151	-0.0509644	
0.075	-0.00915527	0.0674438	-0.282715	-0.0509644	
0.076	-0.00732422	0.0778198	-0.285217	-0.0509644	
0.077	-0.00396729	0.0799561	-0.287659	-0.0509644	
0.078	-0.000915527	0.0741577	-0.2901	-0.0509644	
0.079	0.00305176	0.0610352	-0.292542	-0.0509644	
0.08	0	0.0354004	-0.294922	-0.0509644	
0.081	-0.00244141	0.0109863	-0.297241	-0.0506592	
0.082	0.000305176	-0.0131226	-0.299561	-0.0506592	
0.083	-0.0012207	-0.0421143	-0.301819	-0.0506592	
0.084	0	-0.0610352	-0.304077	-0.0506592	
0.085	0.000915527	-0.0741577	-0.306213	-0.0506592	
0.086	0.000915527	-0.0827026	-0.308411	-0.0506592	
0.087	0.00244141	-0.0857544	-0.310547	-0.0506592	
0.088	-0.000915527	-0.0811768	-0.312683	-0.0506592	
0.089	-0.00488281	-0.0671387	-0.314819	-0.0506592	
0.09	-0.00396729	-0.0396729	-0.316956	-0.0506592	
0.091	-0.00488281	-0.0143433	-0.319031	-0.0506592	
0.092	-0.00335693	0.0100708	-0.321045	-0.0506592	
0.093	-0.00305176	0.0378418	-0.323059	-0.0506592	
0.094	-0.00213623	0.0585938	-0.325073	-0.0506592	
0.095	-0.0012207	0.0717163	-0.327087	-0.0506592	
0.096	-0.000305176	0.0823975	-0.329041	-0.0506592	
0.097	-0.000915527	0.0808716	-0.330994	-0.0506592	
0.098	-0.00213623	0.0772095	-0.332947	-0.0506592	
0.099	-0.00518799	0.0646973	-0.334961	-0.0506592	
0.1	-0.00305176	0.0378418	-0.336914	-0.0506592	
0.101	-0.00213623	0.0119019	-0.338806	-0.0506592	
0.102	-0.0012207	-0.0161743	-0.340759	-0.0506592	
0.103	-0.000610352	-0.045166	-0.342651	-0.0506592	
0.104	-0.00213623	-0.0646973	-0.344543	-0.0506592	
0.105	-0.00488281	-0.0796509	-0.346375	-0.0506592	
0.106	-0.00335693	-0.0863647	-0.348267	-0.0506592	
0.107	-0.00488281	-0.0857544	-0.350098	-0.0506592	
0.108	-0.00396729	-0.0787354	-0.35199	-0.050354	
