small_julian.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	61225	61225	61225	61225	
0	0.00305176	0.0668335	-0.697144	0.0579834	
0.001	0.00762939	0.0378418	-0.698059	0.0582886	
0.002	0.00976562	0.0143433	-0.698914	0.0582886	
0.003	0.00823975	-0.010376	-0.699829	0.0582886	
0.004	0.00823975	-0.0390625	-0.700684	0.0585938	
0.005	0.00701904	-0.0604248	-0.701538	0.0585938	
0.006	0.00305176	-0.0720215	-0.702454	0.0585938	
0.007	0.000610352	-0.0808716	-0.703308	0.0588989	
0.008	-0.00213623	-0.0836182	-0.704224	0.0588989	
0.009	0	-0.0790405	-0.705139	0.0592041	
0.01	0.00488281	-0.0650024	-0.706055	0.0592041	
0.011	0.00671387	-0.0360107	-0.707031	0.0595093	
0.012	0.00396729	-0.0125122	-0.707947	0.0595093	
0.013	0.00152588	0.0125122	-0.708923	0.0598145	
0.014	-0.00366211	0.0408936	-0.709839	0.0598145	
0.015	-0.00366211	0.0622559	-0.710754	0.0601196	
0.016	-0.00610352	0.0762939	-0.711609	0.0604248	
0.017	-0.00701904	0.083313	-0.712524	0.0604248	
0.018	-0.00610352	0.0869751	-0.71344	0.06073	
0.019	-0.00579834	0.0802612	-0.714355	0.06073	
0.02	-0.00244141	0.0631714	-0.715271	0.0610352	
0.021	-0.000305176	0.032959	-0.716187	0.0610352	
0.022	0.00213623	0.00976562	-0.717041	0.0613403	
0.023	0.00213623	-0.017395	-0.717957	0.0613403	
0.024	-0.00183105	-0.0436401	-0.718872	0.0616455	
0.025	-0.00396729	-0.0634766	-0.719727	0.0616455	
0.026	0.000915527	-0.0790405	-0.720642	0.0619507	
0.027	0.00274658	-0.0875854	-0.721558	0.0619507	
0.028	0.00152588	-0.0881958	-0.722473	0.0622559	
0.029	0	-0.0839233	-0.723389	0.0622559	
0.03	0.000305176	-0.0665283	-0.724304	0.062561	
0.031	0.00183105	-0.0366211	-0.72522	0.062561	
0.032	-0.00305176	-0.0146484	-0.726135	0.062561	
0.033	-0.00396729	0.0134277	-0.72699	0.0628662	
0.034	-0.00457764	0.0402832	-0.727844	0.0628662	
0.035	-0.00396729	0.0579834	-0.728699	0.0628662	
0.036	-0.00671387	0.0723267	-0.729492	0.0631714	
0.037	-0.000915527	0.0805664	-0.730347	0.0631714	
0.038	-0.00244141	0.0817871	-0.73114	0.0631714	
0.039	-0.00274658	0.0753784	-0.731873	0.0631714	
0.04	0.00213623	0.0613403	-0.732666	0.0634766	
0.041	0.00579834	0.0335693	-0.733459	0.0634766	
0.042	0.00335693	0.010376	-0.734192	0.0634766	
0.043	0	-0.0170898	-0.734924	0.0634766	
0.044	0.0012207	-0.045166	-0.735596	0.0637817	
0.045	0.00244141	-0.0656128	-0.736267	0.0637817	
0.046	0.00396729	-0.0799561	-0.736938	0.0637817	
0.047	0.00183105	-0.0875854	-0.737549	0.0640869	
0.048	0	-0.0863647	-0.73822	0.0640869	
0.049	-0.00335693	-0.0793457	-0.738831	0.0640869	
0.05	-0.00457764	-0.0631714	-0.739502	0.0640869	
0.051	-0.00427246	-0.03479	-0.740173	0.0643921	
0.052	-0.00823975	-0.0119019	-0.740784	0.0643921	
0.053	-0.00946045	0.0158691	-0.741455	0.0643921	
