ai.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	61530	61530	61530	61530	
0	-0.0012207	-0.00366211	-0.245056	0.1651	
0.001	-0.00854492	-0.00701904	-0.245789	0.164795	
0.002	-0.00732422	-0.00518799	-0.246521	0.164795	
0.003	0.00610352	0.00183105	-0.247253	0.164795	
0.004	0.00427246	0	-0.247925	0.164795	
0.005	-0.00274658	-0.00549316	-0.248596	0.164795	
0.006	-0.00671387	-0.00488281	-0.249329	0.164795	
0.007	-0.0125122	-0.00244141	-0.25	0.16449	
0.008	-0.00946045	-0.000915527	-0.250671	0.16449	
0.009	-0.00762939	0.00152588	-0.251343	0.16449	
0.01	-0.0106812	0.00579834	-0.252075	0.16449	
0.011	-0.0125122	0.00701904	-0.252747	0.16449	
0.012	-0.0192261	-0.00579834	-0.253479	0.164185	
0.013	-0.0177002	-0.00152588	-0.254211	0.164185	
0.014	-0.00946045	0.000915527	-0.254883	0.164185	
0.015	-0.00488281	0.000915527	-0.255554	0.164185	
0.016	0.00396729	-0.00610352	-0.256226	0.163879	
0.017	0.00823975	-0.00640869	-0.256897	0.163879	
0.018	0.0106812	-0.00152588	-0.257568	0.163879	
0.019	0.00366211	-0.00640869	-0.258179	0.163574	
0.02	0.00732422	0.00488281	-0.25885	0.163574	
0.021	0.00701904	0.00244141	-0.259521	0.163574	
0.022	0.00762939	0.00183105	-0.260193	0.163574	
0.023	0.0128174	0.000915527	-0.260803	0.163269	
0.024	0.0195312	0.00152588	-0.261414	0.163269	
0.025	0.0125122	0.00793457	-0.262024	0.163269	
0.026	0.00640869	0.00854492	-0.262573	0.163269	
0.027	0.00640869	0.000915527	-0.263123	0.162964	
0.028	0.00396729	0.000305176	-0.263672	0.162964	
0.029	-0.00152588	0.00152588	-0.26416	0.162964	
0.03	0.000305176	0.00183105	-0.264648	0.162964	
0.031	0.0012207	0.00366211	-0.265137	0.162659	
0.032	0.00213623	0.00518799	-0.265564	0.162659	
0.033	-0.00213623	-0.00183105	-0.265991	0.162659	
0.034	-0.00305176	-0.000610352	-0.266357	0.162354	
0.035	0.00488281	0.00488281	-0.266663	0.162354	
0.036	0.00305176	0.00274658	-0.266907	0.162354	
0.037	-0.0119019	-0.000610352	-0.267151	0.162354	
0.038	-0.0109863	-0.00671387	-0.267273	0.162048	
0.039	-0.00335693	0.00610352	-0.267334	0.162048	
0.04	0.00366211	0.00946045	-0.267395	0.162048	
0.041	0.000610352	0.00518799	-0.267395	0.162048	
0.042	-0.00732422	-0.00305176	-0.267273	0.161743	
0.043	-0.0177002	-0.00457764	-0.26709	0.161743	
0.044	-0.0109863	0.000610352	-0.266846	0.161743	
0.045	-0.000305176	0.00152588	-0.266479	0.161743	
0.046	-0.00701904	-0.000305176	-0.266052	0.161438	
0.047	-0.012207	0.00213623	-0.265564	0.161438	
0.048	-0.0140381	0	-0.264954	0.161438	
0.049	-0.00823975	0.00183105	-0.264282	0.161438	
0.05	-0.00152588	0.00732422	-0.263489	0.161133	
0.051	-0.000305176	-0.00427246	-0.262634	0.161133	
0.052	0.00457764	-0.00732422	-0.261597	0.161133	
0.053	0.00732422	-0.00335693	-0.260498	0.161133	
0.054	-0.000915527	-0.00427246	-0.259277	0.161133	
0.055	0.00457764	0	-0.257874	0.160828	
0.056	0.00946045	0.00274658	-0.256409	0.160828	
0.057	0.0119019	-0.00732422	-0.254761	0.160828	
0.058	0.00366211	-0.00854492	-0.253052	0.160828	
0.059	-0.00366211	-0.00671387	-0.251221	0.160828	
0.06	0.00274658	-0.00244141	-0.249268	0.160828	
0.061	0.0109863	0.00518799	-0.247192	0.160522	
0.062	0.00183105	0.00488281	-0.244995	0.160522	
0.063	0.0012207	0.00976562	-0.242737	0.160522	
0.064	0.00213623	-0.00335693	-0.240295	0.160522	
0.065	-0.00335693	-0.00457764	-0.237671	0.160522	
0.066	0.00335693	-0.00274658	-0.234985	0.160522	
