hak.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60770	60770	60770	60770	
0	-0.0170898	-0.00335693	-0.265503	-0.0161743	
0.001	-0.0158691	-0.00274658	-0.266418	-0.0161743	
0.002	-0.0219727	-0.00335693	-0.267273	-0.0164795	
0.003	-0.0198364	-0.00579834	-0.268188	-0.0164795	
0.004	-0.0183105	-0.00610352	-0.268982	-0.0167847	
0.005	-0.0115967	-0.00427246	-0.269836	-0.0170898	
0.006	-0.010376	-0.00549316	-0.27063	-0.0170898	
0.007	-0.0177002	-0.00244141	-0.271423	-0.0170898	
0.008	-0.0183105	-0.00396729	-0.272217	-0.017395	
0.009	-0.0143433	-0.00549316	-0.27301	-0.017395	
0.01	-0.00823975	-0.00671387	-0.273743	-0.0177002	
0.011	0	-0.00488281	-0.274475	-0.0177002	
0.012	-0.00335693	-0.000305176	-0.275208	-0.0180054	
0.013	-0.00823975	0.00213623	-0.275818	-0.0180054	
0.014	-0.0149536	0.00305176	-0.276489	-0.0183105	
0.015	-0.0143433	0.00213623	-0.277039	-0.0183105	
0.016	-0.0256348	0.00427246	-0.277649	-0.0186157	
0.017	-0.03479	-0.00274658	-0.278198	-0.0186157	
0.018	-0.020752	-0.000915527	-0.278748	-0.0186157	
0.019	-0.0180054	0.00213623	-0.279297	-0.0189209	
0.02	-0.0143433	0.00427246	-0.279846	-0.0189209	
0.021	-0.0128174	0.00549316	-0.280396	-0.0192261	
0.022	-0.0106812	0.00152588	-0.280884	-0.0192261	
0.023	-0.017395	0	-0.281311	-0.0192261	
0.024	-0.0201416	-0.00213623	-0.281738	-0.0195312	
0.025	-0.0253296	-0.00213623	-0.282166	-0.0195312	
0.026	-0.0244141	0	-0.282593	-0.0198364	
0.027	-0.0189209	0.00213623	-0.28302	-0.0198364	
0.028	-0.0131226	0.00457764	-0.283386	-0.0198364	
0.029	0.000915527	0.00701904	-0.283813	-0.0201416	
0.03	-0.0125122	0.000610352	-0.28418	-0.0201416	
0.031	-0.027771	-0.00701904	-0.284546	-0.0201416	
0.032	-0.0289917	-0.00610352	-0.284912	-0.0204468	
0.033	-0.017395	-0.00457764	-0.285278	-0.0204468	
0.034	-0.017395	-0.00579834	-0.285583	-0.0204468	
0.035	-0.0271606	-0.00549316	-0.285889	-0.020752	
0.036	-0.0265503	-0.00823975	-0.286133	-0.020752	
0.037	-0.0238037	-0.00244141	-0.286377	-0.020752	
0.038	-0.0112915	-0.00396729	-0.286621	-0.020752	
0.039	-0.00305176	-0.00335693	-0.286804	-0.0210571	
0.04	-0.00854492	0.00244141	-0.286987	-0.0210571	
0.041	-0.0119019	0.00488281	-0.28717	-0.0210571	
0.042	-0.0125122	-0.00427246	-0.287292	-0.0210571	
0.043	-0.00610352	-0.0128174	-0.287415	-0.0213623	
0.044	-0.0177002	-0.0088501	-0.287476	-0.0213623	
