klasik.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60660	60660	60660	60660	
0	0.0201416	0.0274658	0.242798	0.124512	
0.001	0.00549316	-0.00366211	0.243225	0.124512	
0.002	0.00610352	-0.0100708	0.243652	0.124512	
0.003	0.0170898	0.00854492	0.244019	0.124512	
0.004	-0.020752	-0.0112915	0.244324	0.124512	
0.005	-0.0265503	-0.0366211	0.244629	0.124512	
0.006	0.00946045	-0.00427246	0.244934	0.124512	
0.007	0.0128174	0.00457764	0.245178	0.124512	
0.008	0.0167847	0.020752	0.245422	0.124512	
0.009	0.00549316	0.00732422	0.245667	0.124512	
0.01	-0.00244141	0.00793457	0.245789	0.124512	
0.011	0.00976562	0.0180054	0.245911	0.124512	
0.012	-0.00701904	-0.0137329	0.246033	0.124512	
0.013	-0.0119019	-0.0161743	0.246094	0.124512	
0.014	0.00213623	-0.000610352	0.246155	0.124512	
0.015	0.000915527	-0.00152588	0.246155	0.124512	
0.016	0.00305176	-0.00366211	0.246094	0.124512	
0.017	0.000305176	0.0119019	0.246033	0.124512	
0.018	-0.00762939	-0.00244141	0.245911	0.124512	
0.019	-0.0100708	-0.017395	0.245728	0.124512	
0.02	0.00946045	-0.00610352	0.245544	0.124207	
0.021	0.0256348	0.0088501	0.245239	0.124207	
0.022	-0.00366211	-0.0137329	0.244934	0.124207	
0.023	0	0.00244141	0.244568	0.124207	
0.024	-0.000610352	-0.00946045	0.244141	0.124207	
0.025	-0.000305176	-0.0115967	0.243713	0.124207	
0.026	0.00732422	-0.00976562	0.243225	0.124207	
0.027	0.0152588	0.000610352	0.242676	0.124207	
0.028	0.00183105	-0.00518799	0.242065	0.124207	
0.029	-0.00671387	0.0234985	0.241394	0.124207	
0.03	-0.0256348	0.012207	0.240723	0.124207	
0.031	0.0012207	0.0222778	0.23999	0.124512	
0.032	-0.000305176	0.0228882	0.239258	0.124512	
0.033	-0.00518799	-0.0137329	0.238464	0.124512	
0.034	-0.017395	-0.0192261	0.237732	0.124512	
0.035	-0.0128174	-0.00701904	0.236938	0.124512	
0.036	-0.0106812	0	0.236145	0.124512	
0.037	-0.0106812	-0.00854492	0.235352	0.124817	
0.038	-0.00305176	-0.00152588	0.234497	0.124817	
0.039	-0.010376	-0.00579834	0.233704	0.124817	
0.04	-0.0241089	-0.00335693	0.232849	0.124817	
0.041	-0.0161743	0.0198364	0.232056	0.124817	
0.042	-0.00915527	0.0201416	0.231201	0.125122	
0.043	-0.0253296	0.00610352	0.230347	0.125122	
0.044	-0.0152588	0.0149536	0.229492	0.125122	
0.045	-0.00457764	0.0198364	0.228699	0.125122	
0.046	0.00305176	0.0189209	0.227844	0.125122	
0.047	-0.00823975	-0.00854492	0.22699	0.125122	
0.048	-0.0158691	-0.027771	0.226135	0.125427	
0.049	-0.0125122	-0.0265503	0.225281	0.125427	
0.05	-0.00305176	-0.00671387	0.224365	0.125427	
0.051	0.0125122	0.0219727	0.22345	0.125427	
0.052	0.0119019	0.0228882	0.222473	0.125427	
0.053	0.0109863	0.0238037	0.221497	0.125732	
0.054	0.00427246	0.015564	0.22052	0.125732	
0.055	0.00610352	-0.0262451	0.219543	0.125732	
0.056	-0.000610352	-0.0216675	0.218506	0.125732	
0.057	0.00976562	0.00854492	0.217468	0.125732	
0.058	0.00274658	0.00549316	0.216431	0.126038	
0.059	0.0012207	-0.000915527	0.215332	0.126038	
0.06	0.00366211	-0.00396729	0.214172	0.126038	
0.061	0.0088501	-0.00793457	0.213074	0.126038	
0.062	0.00915527	-0.00152588	0.211914	0.126038	
0.063	0.0100708	0	0.210693	0.126343	
0.064	0.00335693	-0.00244141	0.209534	0.126343	
0.065	-0.00976562	-0.0189209	0.208374	0.126343	
0.066	0.000915527	-0.0128174	0.207153	0.126343	
0.067	0.0128174	0.0244141	0.205994	0.126343	
0.068	-0.00579834	0.00823975	0.204773	0.126343	
0.069	-0.0305176	-0.0177002	0.203552	0.126343	
0.07	-0.0238037	0	0.202332	0.126343	
0.071	-0.0170898	-0.0128174	0.20105	0.126343	
0.072	-0.015564	-0.0149536	0.199768	0.126343	
0.073	0.00549316	0.0201416	0.198547	0.126343	
0.074	0.0195312	0.0231934	0.197205	0.126343	
0.075	0.0119019	0.0088501	0.195923	0.126343	
0.076	0.00854492	0.0140381	0.19458	0.126343	
0.077	0.00274658	-0.00244141	0.193237	0.126343	
0.078	0.0186157	0.00213623	0.191833	0.126343	
0.079	0.0189209	0.0186157	0.190491	0.126343	
0.08	0.00457764	0.022583	0.189026	0.126343	
0.081	-0.00610352	-0.00610352	0.187561	0.126343	
0.082	-0.0119019	-0.027771	0.186096	0.126343	
0.083	-0.00213623	-0.0161743	0.184631	0.126343	
0.084	-0.000915527	0.0119019	0.183105	0.126343	
