live.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60480	60480	60480	60480	
0	-0.00701904	-0.000305176	0.480591	-0.109558	
0.001	-0.00823975	-0.00762939	0.477356	-0.109558	
0.002	-0.00793457	-0.00610352	0.474121	-0.109558	
0.003	-0.00274658	-0.00976562	0.470825	-0.109558	
0.004	0.00549316	-0.00610352	0.467529	-0.109558	
0.005	0.00579834	-0.00610352	0.464233	-0.109558	
0.006	0.00427246	-0.00854492	0.460938	-0.109863	
0.007	0.00671387	-0.00427246	0.457581	-0.109863	
0.008	0.00610352	-0.00213623	0.454285	-0.109863	
0.009	0.00457764	-0.00274658	0.450867	-0.109863	
0.01	0.00183105	-0.00457764	0.447449	-0.109863	
0.011	0.00183105	-0.00640869	0.444031	-0.109863	
0.012	0.00335693	0.000305176	0.440491	-0.110168	
0.013	0.00244141	-0.00518799	0.437012	-0.110168	
0.014	-0.00396729	-0.00946045	0.433472	-0.110168	
0.015	-0.00701904	-0.00488281	0.429871	-0.110168	
0.016	-0.00549316	-0.00366211	0.42627	-0.110168	
0.017	-0.00152588	-0.0012207	0.422607	-0.110474	
0.018	-0.00488281	-0.00213623	0.418945	-0.110474	
0.019	-0.00213623	-0.00213623	0.415222	-0.110474	
0.02	-0.000610352	-0.00701904	0.411377	-0.110474	
0.021	0.00488281	0.00640869	0.407532	-0.110474	
0.022	-0.00274658	-0.000915527	0.403625	-0.110779	
0.023	0.0012207	-0.00732422	0.399719	-0.110779	
0.024	0.00640869	-0.00762939	0.395691	-0.110779	
0.025	0.0100708	0.000915527	0.391724	-0.111084	
0.026	0.00823975	-0.00305176	0.387695	-0.111084	
0.027	0.00610352	-0.00701904	0.383606	-0.111084	
0.028	0.00305176	-0.00610352	0.379517	-0.111084	
0.029	0.00183105	-0.00671387	0.375427	-0.111389	
0.03	0.00183105	-0.00610352	0.371277	-0.111389	
0.031	-0.000610352	-0.00610352	0.367126	-0.111389	
0.032	-0.00244141	-0.00793457	0.362915	-0.111389	
0.033	-0.00244141	0	0.358643	-0.111694	
0.034	0.000610352	0.00396729	0.354431	-0.111694	
0.035	0.00396729	0.000915527	0.350159	-0.111694	
0.036	0.00244141	0	0.345886	-0.111694	
0.037	0.000305176	-0.00305176	0.341614	-0.112	
0.038	0.00152588	-0.0100708	0.337341	-0.112	
0.039	0.00549316	-0.00427246	0.333069	-0.112	
0.04	0.00213623	-0.00549316	0.328735	-0.112	
0.041	-0.00305176	-0.00335693	0.324463	-0.112	
0.042	-0.00152588	-0.00183105	0.320129	-0.112	
0.043	-0.00366211	-0.0012207	0.315796	-0.112305	
0.044	-0.00518799	-0.00457764	0.311462	-0.112305	
0.045	-0.000610352	-0.00671387	0.307129	-0.112305	
0.046	0.00305176	-0.00152588	0.302795	-0.112305	
0.047	0.00244141	-0.0012207	0.298523	-0.112305	
0.048	-0.000610352	0.00366211	0.294189	-0.112305	
0.049	-0.000915527	0.00305176	0.289856	-0.11261	
0.05	-0.00640869	-0.0012207	0.285522	-0.11261	
0.051	-0.00762939	-0.00335693	0.281128	-0.11261	
0.052	-0.00762939	-0.00274658	0.276794	-0.11261	
0.053	-0.00335693	0.00579834	0.2724	-0.11261	
0.054	-0.00762939	-0.00732422	0.268005	-0.11261	
0.055	-0.00976562	-0.0180054	0.263672	-0.112915	
0.056	-0.00183105	-0.010376	0.259277	-0.112915	
0.057	0.00640869	-0.00427246	0.254883	-0.112915	
0.058	-0.0012207	-0.00274658	0.250427	-0.112915	
0.059	-0.00518799	-0.00366211	0.246033	-0.112915	
0.06	-0.00518799	-0.00640869	0.241516	-0.112915	
0.061	-0.00183105	-0.00579834	0.237061	-0.112915	
0.062	-0.00396729	-0.00579834	0.232544	-0.11322	
0.063	-0.0012207	-0.00213623	0.228027	-0.11322	
0.064	-0.000305176	0.00579834	0.223511	-0.11322	
0.065	-0.00671387	0.00244141	0.218933	-0.11322	
0.066	-0.00671387	0.000610352	0.214417	-0.11322	
0.067	-0.00152588	0.00274658	0.2099	-0.11322	
0.068	-0.00518799	-0.000610352	0.205322	-0.11322	
0.069	-0.00610352	-0.00335693	0.200806	-0.11322	
0.07	-0.00579834	-0.00366211	0.196228	-0.11322	
0.071	-0.00549316	0.0012207	0.191711	-0.11322	
0.072	-0.00396729	0.00213623	0.187195	-0.11322	
0.073	-0.00213623	0.00244141	0.182678	-0.11322	
0.074	-0.00549316	-0.00213623	0.178223	-0.11322	
0.075	-0.00518799	0.000305176	0.173828	-0.11322	
