nothing.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	59355	59355	59355	59355	
0	-0.0149536	0.0109863	0.707214	-0.131226	
0.001	-0.012207	0.0137329	0.699036	-0.13092	
0.002	-0.010376	0.0146484	0.690796	-0.13092	
0.003	-0.00762939	0.012207	0.682556	-0.13092	
0.004	0.000305176	-0.00274658	0.674255	-0.130615	
0.005	-0.0088501	-0.017395	0.665955	-0.130615	
0.006	-0.0131226	-0.0238037	0.657593	-0.13031	
0.007	-0.00518799	-0.015564	0.64917	-0.13031	
0.008	0.00396729	-0.00854492	0.640747	-0.13031	
0.009	0.00305176	-0.0112915	0.632263	-0.130005	
0.01	0.00335693	-0.0100708	0.623779	-0.130005	
0.011	0.00244141	-0.010376	0.615295	-0.1297	
0.012	0.00244141	-0.0106812	0.606812	-0.1297	
0.013	0.0115967	-0.00793457	0.598328	-0.129395	
0.014	0.00732422	-0.00793457	0.589783	-0.129395	
0.015	0.00305176	-0.0109863	0.581238	-0.129395	
0.016	0.00244141	-0.010376	0.572693	-0.129089	
0.017	0.00152588	-0.0106812	0.564087	-0.129089	
0.018	0.0012207	-0.0146484	0.555481	-0.128784	
0.019	0.00183105	-0.0180054	0.546875	-0.128784	
0.02	-0.000610352	-0.0134277	0.538208	-0.128479	
0.021	0.00488281	-0.0125122	0.529602	-0.128479	
0.022	0.0106812	-0.0186157	0.520935	-0.128174	
0.023	0.0192261	-0.0210571	0.512268	-0.128174	
0.024	0.0228882	-0.0219727	0.50354	-0.127869	
0.025	0.0164795	-0.0247192	0.494812	-0.127563	
0.026	0.0143433	-0.0210571	0.486023	-0.127563	
0.027	0.0149536	-0.0186157	0.477234	-0.127258	
0.028	0.00549316	-0.022583	0.468384	-0.127258	
0.029	-0.00244141	-0.0259399	0.459534	-0.126953	
0.03	0	-0.0222778	0.450684	-0.126648	
0.031	0.00762939	-0.0137329	0.441833	-0.126648	
0.032	0.00579834	-0.0119019	0.432983	-0.126343	
0.033	0.0106812	-0.0140381	0.424194	-0.126038	
0.034	0.0109863	-0.0186157	0.415344	-0.126038	
0.035	0.00701904	-0.020752	0.406555	-0.125732	
0.036	0.000305176	-0.0192261	0.397766	-0.125732	
0.037	-0.00366211	-0.0186157	0.388977	-0.125427	
0.038	-0.00152588	-0.0238037	0.380188	-0.125122	
0.039	0.00213623	-0.0180054	0.37146	-0.125122	
0.04	0.000915527	-0.00854492	0.362793	-0.124817	
0.041	0	-0.00762939	0.354126	-0.124512	
0.042	-0.00671387	-0.0131226	0.34552	-0.124512	
0.043	-0.00793457	-0.0195312	0.336914	-0.124207	
