small.acq
1 msec/sample
4 channels
EMG (5 - 500 Hz)
mV
EMG (5 - 500 Hz)
mV
PPG (Pulse)
mV
Respiration
mV
sec	CH1	CH2	CH3	CH4	
	60680	60680	60680	60680	
0	0.00244141	0.0177002	0.139282	-0.0866699	
0.001	0.00213623	0.012207	0.156189	-0.0866699	
0.002	0.00549316	-0.00335693	0.173096	-0.0866699	
0.003	-0.00183105	0.00762939	0.190002	-0.0866699	
0.004	-0.0115967	0.0088501	0.206848	-0.0866699	
0.005	-0.00732422	0.00671387	0.223694	-0.0863647	
0.006	-0.00183105	0.00976562	0.24054	-0.0863647	
0.007	-0.00671387	0.0115967	0.257263	-0.0863647	
0.008	-0.00854492	0.0167847	0.273926	-0.0863647	
0.009	-0.0164795	0.0088501	0.290527	-0.0863647	
0.01	-0.0195312	-0.000915527	0.307068	-0.0863647	
0.011	-0.0131226	-0.00305176	0.323486	-0.0863647	
0.012	-0.00213623	0.00732422	0.339844	-0.0863647	
0.013	-0.0012207	0.00976562	0.356018	-0.0863647	
0.014	-0.00305176	0.0100708	0.372131	-0.0863647	
0.015	-0.00274658	0.00946045	0.388062	-0.0863647	
0.016	-0.00335693	0.012207	0.40387	-0.0863647	
0.017	-0.0112915	0.0109863	0.419495	-0.0863647	
0.018	-0.0125122	0.00671387	0.434998	-0.0863647	
0.019	-0.00732422	-0.00335693	0.450256	-0.0863647	
0.02	0	-0.00823975	0.465393	-0.0860596	
0.021	-0.00488281	-0.00579834	0.480286	-0.0860596	
0.022	-0.00457764	-0.00274658	0.494995	-0.0860596	
0.023	-0.000610352	0.000305176	0.509521	-0.0860596	
0.024	-0.00152588	-0.000915527	0.523804	-0.0860596	
0.025	-0.00854492	0.000305176	0.537842	-0.0857544	
0.026	-0.0131226	-0.00274658	0.551636	-0.0857544	
0.027	-0.00732422	-0.00488281	0.565125	-0.0857544	
0.028	-0.00274658	0	0.57843	-0.0857544	
0.029	-0.00732422	0	0.591431	-0.0857544	
0.03	-0.00335693	-0.00457764	0.604187	-0.0854492	
0.031	0	-0.00335693	0.616699	-0.0854492	
0.032	0.00335693	0.00152588	0.628967	-0.0854492	
0.033	0.00549316	0.00274658	0.64093	-0.0854492	
0.034	0.00549316	0.00213623	0.652588	-0.0854492	
0.035	0.00274658	-0.00213623	0.664001	-0.085144	
0.036	-0.00793457	-0.00793457	0.67511	-0.085144	
0.037	-0.00488281	-0.00396729	0.685974	-0.085144	
0.038	-0.00549316	-0.00671387	0.696472	-0.085144	
0.039	-0.00793457	-0.0112915	0.706726	-0.085144	
0.04	-0.00701904	-0.0119019	0.716675	-0.0848389	
0.041	-0.00488281	-0.00335693	0.726318	-0.0848389	
0.042	-0.00579834	-0.00579834	0.735718	-0.0848389	
0.043	-0.00396729	-0.00396729	0.744812	-0.0848389	
0.044	-0.00793457	-0.00549316	0.753601	-0.0848389	
0.045	-0.00579834	-0.00152588	0.762085	-0.0845337	
0.046	0.00396729	0.00549316	0.770203	-0.0845337	
0.047	0.00518799	0.00518799	0.778076	-0.0845337	
0.048	0.00152588	-0.00244141	0.785706	-0.0845337	
0.049	-0.00274658	-0.00915527	0.792969	-0.0842285	
0.05	-0.00640869	-0.00915527	0.799988	-0.0842285	
0.051	-0.00610352	-0.00244141	0.806702	-0.0842285	
0.052	-0.00793457	0.00305176	0.81311	-0.0842285	
0.053	-0.0012207	-0.000610352	0.819214	-0.0839233	
0.054	-0.00335693	-0.00427246	0.825012	-0.0839233	
0.055	-0.00488281	0.0106812	0.830505	-0.0839233	
0.056	-0.00488281	0.0146484	0.835693	-0.0839233	
0.057	-0.00732422	0.00610352	0.840576	-0.0836182	
0.058	-0.00335693	-0.00549316	0.845154	-0.0836182	
0.059	-0.000915527	-0.0146484	0.849487	-0.0836182	
0.06	-0.00854492	-0.00762939	0.853516	-0.0836182	
0.061	-0.00671387	-0.00579834	0.857239	-0.083313	
0.062	-0.00366211	-0.000915527	0.860657	-0.083313	
0.063	0	-0.00366211	0.863831	-0.083313	
0.064	-0.000610352	-0.00610352	0.866699	-0.083313	
0.065	-0.000915527	-0.00732422	0.869263	-0.083313	
0.066	0.00335693	-0.0088501	0.871521	-0.0830078	
0.067	0.00366211	-0.00915527	0.873474	-0.0830078	
0.068	-0.00518799	-0.00732422	0.875183	-0.0830078	
0.069	-0.00213623	-0.00396729	0.876648	-0.0830078	
0.07	-0.00427246	-0.00244141	0.877808	-0.0830078	
0.071	-0.0088501	0.00457764	0.878723	-0.0830078	
0.072	-0.00244141	0.0012207	0.879395	-0.0830078	
0.073	-0.00152588	-0.00732422	0.879822	-0.0830078	
0.074	-0.00610352	-0.0259399	0.879944	-0.0830078	
0.075	-0.00396729	-0.012207	0.879883	-0.0830078	
0.076	0.000305176	-0.00213623	0.879517	-0.0830078	
0.077	0.0012207	-0.00488281	0.878967	-0.0830078	
0.078	0.00274658	-0.000915527	0.878235	-0.0830078	
0.079	-0.000610352	-0.00488281	0.877197	-0.0830078	
0.08	-0.00701904	-0.00701904	0.876038	-0.0830078	
0.081	-0.00854492	-0.0106812	0.874573	-0.0830078	
0.082	0.000915527	-0.0106812	0.872986	-0.0830078	
0.083	0.00488281	-0.0109863	0.871155	-0.0830078	
0.084	0.000305176	-0.00640869	0.869141	-0.0830078	
0.085	-0.00610352	-0.00579834	0.866943	-0.0830078	
0.086	-0.00274658	-0.00762939	0.864502	-0.0830078	
0.087	0.00823975	-0.00701904	0.861938	-0.083313	
0.088	0.0134277	-0.00732422	0.859192	-0.083313	
0.089	0.00396729	-0.00915527	0.856262	-0.083313	
0.09	0.00183105	-0.00244141	0.853149	-0.083313	
0.091	0.00854492	0.000915527	0.849915	-0.083313	
0.092	0.0137329	0.00549316	0.846497	-0.083313	
0.093	0.0146484	0.00488281	0.842896	-0.083313	
0.094	0.00854492	-0.00244141	0.839111	-0.0836182	
0.095	-0.00152588	-0.0119019	0.835144	-0.0836182	
0.096	-0.00915527	-0.0137329	0.831055	-0.0836182	
0.097	-0.00823975	-0.0088501	0.826782	-0.0836182	
0.098	-0.00823975	-0.00396729	0.822388	-0.0836182	
0.099	-0.00793457	-0.00579834	0.81781	-0.0836182	
0.1	0	-0.0109863	0.81311	-0.0836182	
0.101	-0.000915527	-0.0106812	0.808228	-0.0836182	
0.102	0.00213623	-0.00518799	0.803284	-0.0836182	
0.103	0.00640869	-0.00213623	0.798157	-0.0836182	
0.104	0.00305176	-0.00701904	0.792908	-0.0836182	
0.105	0.000610352	-0.0088501	0.787476	-0.0836182	
0.106	0.00274658	-0.000305176	0.781921	-0.0836182	
0.107	0.00915527	-0.000610352	0.776306	-0.0836182	
0.108	0.00823975	-0.00518799	0.770447	-0.0836182	
0.109	0.00152588	-0.00854492	0.764526	-0.0836182	
0.11	-0.0012207	-0.00732422	0.758484	-0.0836182	
0.111	-0.00305176	-0.000610352	0.752319	-0.0836182	
0.112	-0.00823975	0.00610352	0.746033	-0.0839233	
0.113	-0.0167847	-0.00213623	0.739563	-0.0839233	
0.114	-0.0112915	-0.00152588	0.733032	-0.0839233	
0.115	-0.000305176	0.00732422	0.726379	-0.0839233	
0.116	-0.00274658	0.00946045	0.719604	-0.0839233	
0.117	-0.0152588	-0.000305176	0.712769	-0.0839233	
0.118	-0.0115967	-0.0100708	0.70575	-0.0839233	
0.119	0.00213623	0.000305176	0.698669	-0.0839233	
0.12	0.00579834	0	0.691467	-0.0839233	
0.121	0	-0.00610352	0.684143	-0.0839233	
0.122	-0.00823975	-0.012207	0.676758	-0.0839233	
0.123	-0.00610352	-0.00610352	0.66925	-0.0839233	
0.124	0.00152588	0.00183105	0.661682	-0.0839233	
0.125	0.0109863	0.00793457	0.653992	-0.0842285	
0.126	0.0131226	0.00457764	0.646179	-0.0842285	
0.127	0.00244141	0.00305176	0.638367	-0.0842285	
0.128	-0.0088501	0.00152588	0.630371	-0.0842285	
0.129	-0.0109863	0.0012207	0.622375	-0.0842285	
0.13	-0.000305176	-0.0012207	0.614319	-0.0842285	
0.131	0.00701904	0.00366211	0.60614	-0.0842285	
0.132	0.00213623	0.00183105	0.597961	-0.0845337	
0.133	-0.00244141	0.000915527	0.589722	-0.0845337	
0.134	-0.0012207	-0.000610352	0.581421	-0.0845337	
0.135	-0.00274658	0.000305176	0.573059	-0.0845337	
0.136	-0.00915527	0.00213623	0.564636	-0.0848389	
0.137	-0.0112915	0.000915527	0.556152	-0.0848389	
0.138	-0.00671387	0.000305176	0.547668	-0.0848389	
0.139	-0.00579834	-0.00274658	0.539185	-0.085144	
0.14	-0.00671387	-0.00244141	0.53064	-0.085144	
0.141	-0.00640869	0.00579834	0.522034	-0.085144	
0.142	-0.00213623	0.012207	0.513428	-0.085144	
0.143	-0.00274658	0.00854492	0.504822	-0.0854492	
0.144	-0.00579834	0.0012207	0.496155	-0.0854492	
0.145	-0.00854492	-0.0012207	0.487488	-0.0854492	
0.146	-0.00762939	-0.010376	0.47876	-0.0854492	
0.147	-0.0012207	-0.00427246	0.470032	-0.0857544	
0.148	-0.00244141	-0.0119019	0.461304	-0.0857544	
0.149	-0.000915527	-0.00366211	0.452576	-0.0857544	
0.15	0.000915527	0.00396729	0.443848	-0.0857544	
0.151	-0.00701904	0.00946045	0.435059	-0.0857544	
0.152	-0.012207	0.00549316	0.426331	-0.0857544	
0.153	-0.012207	0.00244141	0.417542	-0.0857544	
0.154	-0.00915527	0.00183105	0.408752	-0.0857544	
0.155	-0.00518799	0.00396729	0.399902	-0.0857544	
0.156	-0.00701904	-0.00427246	0.391113	-0.0857544	
0.157	-0.012207	-0.00518799	0.382202	-0.0857544	
0.158	-0.00183105	-0.00152588	0.373352	-0.0857544	
0.159	0.00427246	-0.00793457	0.364502	-0.0857544	
0.16	0.00305176	-0.00671387	0.355591	-0.0857544	
0.161	-0.0012207	-0.00518799	0.346741	-0.0857544	
0.162	-0.00671387	-0.00671387	0.33783	-0.0860596	
0.163	-0.00213623	-0.00640869	0.328918	-0.0860596	
0.164	0.00396729	-0.00671387	0.320068	-0.0860596	
0.165	0.00366211	-0.00488281	0.311157	-0.0860596	
0.166	-0.000305176	-0.00701904	0.302246	-0.0860596	
0.167	0.00457764	-0.00518799	0.293335	-0.0860596	
0.168	0.0106812	-0.00244141	0.284424	-0.0860596	
0.169	0.00610352	-0.00488281	0.275513	-0.0860596	
0.17	0.00366211	-0.00183105	0.266602	-0.0860596	
0.171	0.00152588	-0.010376	0.25769	-0.0860596	
0.172	0.00305176	-0.010376	0.248779	-0.0860596	
0.173	0.00213623	-0.000915527	0.239929	-0.0860596	
0.174	0.00671387	-0.0088501	0.231079	-0.0860596	
0.175	0.00213623	-0.0195312	0.222229	-0.0860596	
0.176	-0.00244141	-0.0161743	0.21344	-0.0860596	
0.177	0.000915527	-0.0131226	0.204712	-0.0860596	
0.178	-0.00640869	-0.00793457	0.195984	-0.0860596	
0.179	-0.00976562	-0.00427246	0.187256	-0.0857544	
0.18	-0.0119019	-0.0106812	0.178589	-0.0857544	
0.181	-0.00427246	-0.00183105	0.169983	-0.0857544	
0.182	0.00549316	-0.00274658	0.161438	-0.0857544	
0.183	-0.00518799	-0.0100708	0.152954	-0.0854492	
0.184	-0.00366211	-0.00427246	0.14447	-0.0854492	
0.185	-0.00732422	-0.00396729	0.136108	-0.0854492	
0.186	-0.00732422	-0.00488281	0.127747	-0.0854492	
0.187	-0.00701904	-0.00610352	0.119446	-0.085144	
0.188	-0.00946045	-0.00732422	0.111267	-0.085144	
0.189	-0.00305176	-0.00610352	0.103149	-0.085144	
0.19	0	-0.00518799	0.0951538	-0.085144	
